linearization_wx	id	sentence_wx	sentence	linearization
( bulA_1:TAM(wA_hE_1):k1(mohana:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):k2(rAma:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):k2p(Gara_2:attr_gen():attr_num(-):attr_per(sg):r6(mohana:attr_coref(yes))):CLAUSE_TYPE(affirmative))	20	mohana rAma ko apane Gara bulAwA hE.	मोहन राम को अपने घर बुलाता है.	( बुला_1:TAM(ता_है_1):k1(मोहन:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):k2(राम:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):k2p(घर_2:attr_gen():attr_num(-):attr_per(sg):r6(mohana:attr_coref(yes))):CLAUSE_TYPE(affirmative))
(xe_1:TAM(yA_1):k1(rAma:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):k4(mohana:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):k2( kiwAba_1:attr_gen(-):attr_num(sg):attr_per(a):mod(nIlA_1)):CLAUSE_TYPE(affirmative))	21	rAma ne mohana ko nIlI kiwAba xI.	राम ने मोहन को नीली किताब दी.	(दे_1:TAM(या_1):k1(राम:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):k4(मोहन:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):k2( किताब_1:attr_gen(-):attr_num(sg):attr_per(a):mod(नीला_1)):CLAUSE_TYPE(affirmative))
(bETa_1:TAM(yA_hE_2):k1(rAma:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))	22	rAma bETA hE.	राम बैठा है.	(बैठ_1:TAM(या_है_2):k1(राम:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))
( bulA_1:TAM(wA_hE_1):k1(mohana:attr_ne(per):attr_gen():attr_num(m):attr_per(sg)):k2( rAma:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):k2p( vixyAlaya_1:attr_gen():attr_num(-):attr_per(sg):r6(mohana:attr_coref(yes))):CLAUSE_TYPE(affirmative ))	23	mohana rAma ko apane vixyAlaya bulAwA hE.	मोहन राम को अपने विद्यालय बुलाता है.	( बुला_1:TAM(ता_है_1):k1(मोहन:attr_ne(per):attr_gen():attr_num(m):attr_per(sg)):k2( राम:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):k2p( विद्यालय_1:attr_gen():attr_num(-):attr_per(sg):r6(mohana:attr_coref(yes))):CLAUSE_TYPE(affirmative ))
(lA_1:TAM(o_1):rt(ladakA_1:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(a):attr_def(yes)):k5(jaMgala_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):k2(Pala_1:attr_gen(-):attr_num(pl):attr_per(a)):CLAUSE_TYPE(imperative))	24	ladake ke liye jaMgala se Pala lAo!	लडके के लिये जंगल से फल लाओ!	(ला_1:TAM(ओ_1):rt(लडका_1:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(a):attr_def(yes)):k5(जंगल_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):k2(फल_1:attr_gen(-):attr_num(pl):attr_per(a)):CLAUSE_TYPE(imperative))
(KA_1:TAM(yA_1):k1(ladakA_1:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(a):attr_def(yes)):k2(KAnA_1:attr_sem-cat(mass):attr_gen(-):attr_num(sg):attr_per(a)):neg(nahIM_1):CLAUSE_TYPE(negative))	25	ladake ne KAnA nahIM KAyA.	लडके ने खाना नहीं खाया.	(खा_1:TAM(या_1):k1(लडका_1:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(a):attr_def(yes)):k2(खाना_1:attr_sem-cat(mass):attr_gen(-):attr_num(sg):attr_per(a)):neg(नहीं_1):CLAUSE_TYPE(negative))
(uxGAtana+kara_1:TAM(yA_1):k1(manwrI_1:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(a)):k7t(kala_1):k2(manxira_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):CLAUSE_TYPE(affirmative))	26	manwrIjI ne kala manxira kA uxGAtana kiyA.	मन्त्रीजी ने कल मन्दिर का उद्घाटन किया.	(उद्घाटन+कर_1:TAM(या_1):k1(मन्त्री_1:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(a)):k7t(कल_1):k2(मन्दिर_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):CLAUSE_TYPE(affirmative))
(jIwa_7:TAM(yA_1):k2(mEca_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):k1(unknown:attr_gen(f):attr_num(sg):attr_per(a)):CLAUSE_TYPE(interrogative))	27	mEca kisane jIwA?	मैच किसने जीता?	(जीत_7:TAM(या_1):k2(मैच_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):k1(unknown:attr_gen(f):attr_num(sg):attr_per(a)):CLAUSE_TYPE(interrogative))
(hE_1:TAM(pres):k4a(rAma:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):k1(xuHKa_4:attr_sem-cat(abs):attr_gen(-):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))	28	rAma ko xuHKa hE.	राम को दुःख है.	(है_1:TAM(pres):k4a(राम:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):k1(दुःख_4:attr_sem-cat(abs):attr_gen(-):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))
(A_1:TAM(0_rahA_hE_1):k1(speaker:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(u)):CLAUSE_TYPE(affirmative))	29	mEM A rahA hUz.	मैं आ रहा हूँ.	(आ_1:TAM(0_रहा_है_1):k1(speaker:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(u)):CLAUSE_TYPE(affirmative))
(hE_1:TAM(pres):k1(rAma:attr_ne(per):attr_gen(-):attr_num(sg):attr_per(a)):k1s(xuHKI_2):CLAUSE_TYPE(affirmative))	30	rAma xuHKI hE.	राम दुःखी है.	(है_1:TAM(pres):k1(राम:attr_ne(per):attr_gen(-):attr_num(sg):attr_per(a)):k1s(दुःखी_2):CLAUSE_TYPE(affirmative))
(A_1:TAM(yA_1):k1(speaker:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(u)):rt(John:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):k5(Sahara_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):CLAUSE_TYPE(affirmative))	31	mEM john ke lie Sahara se AyA.	मैं जोह्न् के लिए शहर से आया.	(आ_1:TAM(या_1):k1(speaker:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(u)):rt(झोह्न्:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):k5(शहर_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):CLAUSE_TYPE(affirmative))
double_causative(KA_1:TAM(yA_1):pk1(mAz_1:attr_gen(f):attr_num(sg):attr_per(a):attr_def(yes)):mk1(rAma:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):jk1( baccA_1:attr_gen(m):attr_num(sg):attr_per(a):attr_def(yes)):k2( KAnA_1:attr_sem-cat(mass):attr_gen(-):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))	32	mAz ne rAma se bacce ko KAnA KilavAyA.	माँ ने राम से बच्चे को खाना खिलवाया.	double_causative(खा_1:TAM(या_1):pk1(माँ_1:attr_gen(f):attr_num(sg):attr_per(a):attr_def(yes)):mk1(राम:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):jk1( बच्चा_1:attr_gen(m):attr_num(sg):attr_per(a):attr_def(yes)):k2( खाना_1:attr_sem-cat(mass):attr_gen(-):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))
(A_1:TAM(yA_1):k1(speaker:attr_anim(yes):attr_gen(f):attr_num(sg):attr_per(u)):k7t(kala_1):CLAUSE_TYPE(affirmative))	33	mEM kala AyA.	मैं कल आया.	(आ_1:TAM(या_1):k1(speaker:attr_anim(yes):attr_gen(f):attr_num(sg):attr_per(u)):k7t(कल_1):CLAUSE_TYPE(affirmative))
(paDa_1:TAM(0_rahA_hE_1):k1(speaker:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(u)):k2(kiwAba_1:attr_gen(-):attr_num(pl):attr_per(a):attr_def(yes)):CLAUSE_TYPE(affirmative))	34	mEM kiwAbeM paDa rahA hUz.	मैं किताबें पढ रहा हूँ.	(पढ_1:TAM(0_रहा_है_1):k1(speaker:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(u)):k2(किताब_1:attr_gen(-):attr_num(pl):attr_per(a):attr_def(yes)):CLAUSE_TYPE(affirmative))
(A_1:TAM(yA_1):k1(speaker:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(u)):rt(ladakA_1:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(a):attr_def(yes)):k5(Sahara_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):CLAUSE_TYPE(affirmative))	35	mEM ladake ke lie Sahara se AyA.	मैं लडके के लिए शहर से आया.	(आ_1:TAM(या_1):k1(speaker:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(u)):rt(लडका_1:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(a):attr_def(yes)):k5(शहर_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):CLAUSE_TYPE(affirmative))
(KA_1:TAM(yA_1):k1(speaker:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(u)):k2(Pala_1:attr_gen(-):attr_num(sg):attr_per(a):mod(acCA_1)):CLAUSE_TYPE(affirmative))	36	mEMne acCA Pala KAyA.	मैंने अच्छा फल खाया.	(खा_1:TAM(या_1):k1(speaker:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(u)):k2(फल_1:attr_gen(-):attr_num(sg):attr_per(a):mod(अच्छा_1)):CLAUSE_TYPE(affirmative))
(paDa_1:TAM(yA_hE_1):k1(speaker:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(u)):k2(kiwAba_1:attr_gen(-):attr_num(sg):attr_per(a):mod(acCA_1)):CLAUSE_TYPE(affirmative))	37	mEMne acCI kiwAba paDI hE.	मैंने अच्छी किताब पढी है.	(पढ_1:TAM(या_है_1):k1(speaker:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(u)):k2(किताब_1:attr_gen(-):attr_num(sg):attr_per(a):mod(अच्छा_1)):CLAUSE_TYPE(affirmative))
double_causative( xe_1:TAM(yA_1):pk1(rAma:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):mk1( SyAma:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):jk1( mohana:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):k4(BiKArI_1:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(a):attr_def(yes)):k2(xAna_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):CLAUSE_TYPE(affirmative))	38	rAma ne SyAma xvArA mohana se BiKArI ko xAna xilavAyA.	राम ने श्याम द्वारा मोहन से भिखारी को दान दिलवाया.	double_causative( दे_1:TAM(या_1):pk1(राम:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):mk1( श्याम:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):jk1( मोहन:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):k4(भिखारी_1:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(a):attr_def(yes)):k2(दान_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):CLAUSE_TYPE(affirmative))
(hE_1:TAM(pres):k1(yaha_1:attr_gen(-):attr_num(sg):attr_per(a)):k1s(prawIka_1:attr_gen(m):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))	39	ye prawIka hE.	ये प्रतीक है.	(है_1:TAM(pres):k1(यह_1:attr_gen(-):attr_num(sg):attr_per(a)):k1s(प्रतीक_1:attr_gen(m):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))
( jA_1:TAM(nA_padZA_1):k1(rAma:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):k2p( xillI:attr_ne(place):attr_gen(-):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))	40	rAma ko xillI jAnA padZA.	राम को दिल्ली जाना पड़ा.	( जा_1:TAM(ना_पड़ा_1):k1(राम:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):k2p( दिल्ली:attr_ne(place):attr_gen(-):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))
(XakkA+mAra_1:TAM(yA_1):k1(speaker:attr_gen(-):attr_num(sg):attr_per(u)):k2(ladakA_1:attr_gen(m):attr_num(sg):attr_per(a):attr_def(yes):mod(aMXA_1)):kr_vn(XIre+se_1):CLAUSE_TYPE(affirmative))	41	mEMne aMXe ladake ko XIre se XakkA mArA.	मैंने अंधे लडके को धीरे से धक्का मारा.	(धक्का+मार_1:TAM(या_1):k1(speaker:attr_gen(-):attr_num(sg):attr_per(u)):k2(लडका_1:attr_gen(m):attr_num(sg):attr_per(a):attr_def(yes):mod(अंधा_1)):kr_vn(धीरे+से_1):CLAUSE_TYPE(affirmative))
(KA_1:TAM(yA_1):k1(speaker:attr_gen(-):attr_num(sg):attr_per(u)):k2(Pala_1:attr_gen(-):attr_num(sg):attr_per(a):mod(nayA_1)):CLAUSE_TYPE(affirmative))	42	mEMne nayA Pala KAyA.	मैंने नया फल खाया.	(खा_1:TAM(या_1):k1(speaker:attr_gen(-):attr_num(sg):attr_per(u)):k2(फल_1:attr_gen(-):attr_num(sg):attr_per(a):mod(नया_1)):CLAUSE_TYPE(affirmative))
(xeKa_1:TAM(yA_1):k1(speaker:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(u)):k2(ladakA_1:attr_gen(m):attr_num(sg):attr_per(a):attr_def(yes):mod(nayA_1:attr_anim(yes))):CLAUSE_TYPE(affirmative))	43	mEMne naye ladake ko xeKA.	मैंने नये लडके को देखा.	(देख_1:TAM(या_1):k1(speaker:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(u)):k2(लडका_1:attr_gen(m):attr_num(sg):attr_per(a):attr_def(yes):mod(नया_1:attr_anim(yes))):CLAUSE_TYPE(affirmative))
(hE_1:TAM(past):k7p(bagIcA_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):k1(billI_1:attr_anim(yes):attr_gen(-):attr_num(pl):attr_per(a)):CLAUSE_TYPE(affirmative))	44	bagIce meM billiyAz WIM.	बगीचे में बिल्लियाँ थीं.	(है_1:TAM(पस्ट्):k7p(बगीचा_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):k1(बिल्ली_1:attr_anim(yes):attr_gen(-):attr_num(pl):attr_per(a)):CLAUSE_TYPE(affirmative))
(hE_1:TAM(pres):k7p(BArawa:attr_ne(place):attr_gen(-):attr_num(sg):attr_per(a)):k1(xvIpasamUha_1:attr_gen(-):attr_num(pl):attr_per(a)):CLAUSE_TYPE(affirmative))	45	BArawa meM xvIpasamUha hEM.	भारत में द्वीपसमूह हैं.	(है_1:TAM(pres):k7p(भारत:attr_ne(place):attr_gen(-):attr_num(sg):attr_per(a)):k1(द्वीपसमूह_1:attr_gen(-):attr_num(pl):attr_per(a)):CLAUSE_TYPE(affirmative))
(paDa_1:TAM(yA_1):k1(speaker:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(u)):k2(kiwAba_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes):ord(pahalA_1)):CLAUSE_TYPE(affirmative))	46	mEMne pahalI kiwAba paDI.	मैंने पहली किताब पढी.	(पढ_1:TAM(या_1):k1(speaker:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(u)):k2(किताब_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes):ord(पहला_1)):CLAUSE_TYPE(affirmative))
(hE_1:TAM(pres):k1(AkASagaMgA_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):k1s(badA_2):CLAUSE_TYPE(affirmative))	47	AkASagaMgA badI hE.	आकाशगंगा बडी है.	(है_1:TAM(pres):k1(आकाशगंगा_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):k1s(बडा_2):CLAUSE_TYPE(affirmative))
(timatimA_1:TAM(wA_hE_1):k1(wArA_1:attr_gen(-):attr_num(pl):attr_per(a):attr_def(yes)):CLAUSE_TYPE(affirmative))	48	wAre timatimAwe hEM.	तारे टिमटिमाते हैं.	(टिमटिमा_1:TAM(ता_है_1):k1(तारा_1:attr_gen(-):attr_num(pl):attr_per(a):attr_def(yes)):CLAUSE_TYPE(affirmative))
