	hin	eng	hin_id	eng_id	hin_gloss	eng_gloss	hin_ex	eng_ex
13	आबपाशी_1	irrigation_1	1869	1057631	खेती-बारी के लिए खेतों आदि में नाली आदि के द्वारा जल पहुँचाने की क्रिया ताकि उनमें नमी बनी रहे	['supplying dry land with water by means of ditches etc']	"""नदी, नहर आदि के पानी से खेतों की सिंचाई की जाती है ।"""	[]
14	आभार_2	gratitude_1	3459	7504343	कृतज्ञ होने की अवस्था या भाव	['a feeling of thankfulness and appreciation']	"""संकट के समय जिस-जिसने राम की मदद की उन सबके प्रति उसने कृतज्ञता प्रकट की ।"""	['he was overwhelmed with gratitude for their help']
15	आभार_4	burden_1	3460	5832745	किसी की जिम्मेदारी बनकर रहने तथा उसके लिए कुछ उपयोगी न होने की अवस्था	['an onerous or difficult concern']	"""कर्महीन व्यक्ति पृथ्वी पर भार हैं ।"""	"['the burden of responsibility', ""that' s a load off my mind""]"
16	अबरक_1	mica_1	8140	14681555	खानों से निकलने वाली एक कांच के समान पारदर्शक तहदार धातु	['any of various minerals consisting of hydrous silicates of aluminum or potassium etc. that crystallize in forms that allow perfect cleavage into very thin leaves', ' used as dielectrics because of their resistance to electricity']	"""भारत के राजस्थान में अभ्रक अधिक मात्रा में निकलता है ।"""	[]
17	आभारी_2	grateful_2	1161	1146493	अपने साथ किया हुआ उपकार माननेवाला	['feeling or showing gratitude']	"""मैं आपका कृतज्ञ हूँ कि आपने मुझे जेल जाने से बचा लिया ।"""	"['a grateful heart', ""grateful for the tree' s shade"", 'a thankful smile']"
18	आभास_3	semblance_1	25504	5939636	(मिथ्या) ज्ञान	['an erroneous mental representation']	"""अंधेरे में रस्सी में सर्प का आभास हो जाना बहुत स्वाभाविक है । / अंधेरे में रस्सी में सर्प की प्रतीति बहुत स्वाभाविक है ।"""	[]
19	आभास_3	semblance_1	4792	4677952	बहुत हल्का मेल या रंगत	['an outward or token appearance or form that is deliberately misleading']	"""उसकी कविता में छायावाद का पुट है ।"""	['he hoped his claims would have a semblance of authenticity', 'he tried to give his falsehood the gloss of moral sanction', 'the situation soon took on a different color']
20	अभाव_3	deficiency_1	1562	5113133	अल्प या कम होने की अवस्था या भाव	['lack of an adequate quantity or number']	"""समय की कमी के कारण मैं वहाँ नहीं जा सका ।"""	['the inadequacy of unemployment benefits']
21	आबादी_1	population_1	17817	1257969	बसने की क्रिया या अवस्था	['the act of populating (causing to live in a place)']	"""भूकम्प से घनी आबादी वाले क्षेत्रों को बहुत नुकसान हुआ है ।"""	['he deplored the population of colonies with convicted criminals']
22	आबादी_1	population_1	26567	8178741	किसी क्षेत्र में रहने या बसनेवाले किसी जंतु की कुल संख्या	['a group of organisms of the same species populating a given area']	"""भारत में बाघों की जनसंख्या दिन-प्रतिदिन घटती जा रही है ।"""	['they hired hunters to keep down the deer population']
23	आबादी_1	population_1	5483	13779804	किसी नगर या देश आदि में बसनेवाले मनुष्यों की कुल संख्या	['the number of inhabitants (either the total number or the number of a particular race or class) in a given place (country or city etc.)']	"""भारत की जनसंख्या तेज़ी से बढ़ रही है ।"""	['people come and go, but the population of this town has remained approximately constant for the past decade', 'the African-American population of Salt Lake City has been increasing']
24	आबादी_1	population_1	39215	8179879	किसी प्रदेश, राज्य या स्थान पर बसे हुए लोग	['the people who inhabit a territory or state']	"""यहाँ की आबादी ख़ुशहाल और सम्पन्न है ।"""	['the population seemed to be well fed and clothed']
25	अब्बा_1	father_1	2955	10080869	जन्म देने वाला पुरुष	['a male parent (also used as a term of address to your father)']	"""मेरे पिता एक अध्यापक हैं ।"""	['his father was born in Atlanta']
26	अभेद्य_3	impregnable_1	1181	2526124	जो वेध्य न हो या जिसका भेदन न हो सके या संभव न हो	['able to withstand attack']	"""प्राचीन काल में राजा लोग अवेध्य दुर्ग का निर्माण कराते थे ।"""	['an impregnable fortress', 'fortifications that made the frontier inviolable']
27	अभेद्य_4	impenetrable_2	9287	1771632	जिसको भेदा या छेदा न जा सके	['not admitting of penetration or passage into or through']	"""हीरा एक निर्भेद्य पत्थर है ।"""	['an impenetrable fortress', 'impenetrable rain forests']
28	अभी_1	just_6	11154	33308	इसी समय	['only a moment ago']	"""सोहन अभी-अभी स्कूल से लौटा है ।"""	['he has just arrived', 'the sun just now came out']
29	अभिभव_1	defeat_1	679	7475364	पराजित होने की अवस्था या भाव	['an unsuccessful ending to a struggle or contest']	"""इस चुनाव में उसकी हार निश्चित है । / चुनाव में उसको पराजय हाथ लगी ।"""	"['it was a narrow defeat', ""the army' s only defeat"", 'they suffered a convincing licking']"
30	अभिभावक_1	guardian_1	12892	9614684	वह जो किसी बालक, स्त्री अथवा ऐसे व्यक्ति की देख-रेख करता हो जो अपनी देख-रेख करने में समर्थ न समझा जाता हो	['a person who cares for persons or property']	"""आज पाठशाला में छात्रों के अभिभावकों को बुलाया गया है ।"""	[]
31	अभिज्ञान_1	recognition_1	13893	5762998	पहचानने की क्रिया या भाव	['the process of recognizing something or someone by remembering']	"""उसे मूँग और मसूर की पहचान नहीं है ।"""	['a politician whose recall of names was as remarkable as his recognition of faces', 'experimental psychologists measure the elapsed time from the onset of the stimulus to its recognition by the observer']
32	अभिकल्प_1	design_1	9932	5902327	किसी बनाए जाने वाले रूप या किए जाने वाले काम का वह स्थूल अनुमान जो उसके आकार-प्रकार आदि का परिचायक होता है	['something intended as a guide for making something else']	"""किसी भी कार्य को प्रारंभ करने से पूर्व उसकी रूपरेखा तैयार की जाती है ।"""	['a blueprint for a house', 'a pattern for a skirt']
33	अभिकर्ता_1	agent_1	10391	9777353	वह जो किसी व्यक्ति या संस्था की ओर से उसके प्रतिनिधि के रूप में कुछ करने के लिए नियत हो	['a representative who acts on behalf of other persons or organizations']	"""श्याम एक निजी बैंक में अभिकर्ता है ।"""	[]
34	अभिकथन_1	allegation_1	10394	6731186	किसी व्यक्ति या पक्ष की ओर से कही जानेवाली ऐसी बात या लगाया जानेवाला ऐसा आरोप जो अभी प्रमाणित न हुआ हो अथवा जिसके प्रमाणित होने में कुछ संदेह हो	['statements affirming or denying certain matters of fact that you are prepared to prove']	"""न्यायालय में राम अपने अभिकथन को सही साबित न कर सका ।"""	[]
35	अभिलाषा_1	desire_1	2994	4945057	वह मनोवृत्ति जो किसी बात या वस्तु की प्राप्ति की ओर ध्यान ले जाती है	['an inclination to want things']	"""इंसान की हर इच्छा पूरी नहीं होती । / उसकी ज्ञान पिपासा बढ़ती जा रही है । / मेरा आज खाने का मन नहीं है ।"""	['a man of many desires']
36	अभिलाषी_1	wishful_1	1828	887719	जो किसी वस्तु आदि की प्राप्ति की इच्छा करता हो	['having or expressing desire for something']	"""राम यह पुस्तक लेने के लिए इच्छुक है ।"""	['desirous of high office', 'desirous of finding a quick solution to the problem']
37	अभिलषित_2	desired_2	1348	2527220	जिसकी इच्छा की गई हो	['wanted intensely']	"""मनुष्य की इच्छित कामनाएँ हमेशा पूरी नहीं होतीं ।"""	['the child could no longer resist taking one of the craved cookies', 'it produced the desired effect']
38	अभिलेख_1	record_1	27013	6490173	* वह दस्तावेज जिसमें किसी अपराधी के अपराधों की सूची हो	['a list of crimes for which an accused person has been previously convicted']	"""बड़े अधिकारी हाल ही में पकड़े गए अपराधी के आपराधिक दस्तावेज का निरीक्षण कर रहे हैं ।"""	['he ruled that the criminal record of the defendant could not be disclosed to the court', 'the prostitute had a record a mile long']
39	अभिलेख_1	record_1	8528	6647206	किसी विषय के संबंध में लिखी हुई सब बातें	['anything (such as a document or a phonograph record or a photograph) providing permanent evidence of or information about past events']	"""यह अभिलेख अठारहवीं शताब्दी का है ।"""	['the film provided a valuable record of stage techniques']
40	अभिमान_1	pride_1	9515	7531536	किसी वस्तु या बात के बारे में मन में उठनेवाला वह भाव जिसके कारण महत्व प्राप्त हो या अभिमान किया जा सके	"[""satisfaction with your (or another' s) achievements""]"	"""हमेशा गर्व से सीना तानकर चलने वाले साहूकार को आज सबके सामने लज्जित होना पड़ा ।"	"[""he takes pride in his son' s success""]"
41	अभिमान_1	pride_1	26217	7508486	शृंगार रस में एक विशेष अवस्था	['the trait of being spurred on by a dislike of falling below your standards']	"""नायक नायिका का अभिमान देख प्रसन्न हो रहा है ।"""	[]
42	अभिनव_1	novel_3	3064	1687167	जिसे बने, निकले या प्रस्तुत हुए थोड़े ही दिन हुए हों	['original and of a kind not seen before']	"""वैज्ञानिक क्षेत्र में रोबोट का निर्माण नया है ।"""	['the computer produced a completely novel proof of a well-known theorem']
43	अभिनय_1	acting_1	2671	548326	दूसरे व्यक्तियों के भाषण, चेष्टा आदि का कुछ काल के लिए अनुकरण करने की क्रिया, जैसा नाटकों आदि में होता है	['the performance of a part or role in a drama']	"""इस नाटक में राम का अभिनय बहुत प्रशंसनीय रहा ।"""	[]
44	अभिनेता_1	actor_1	4192	9765278	अभिनय करने या स्वाँग दिखाने वाला पुरुष	['a theatrical performer']	"""वह एक कुशल अभिनेता है ।"""	[]
45	अभिनेत्री_1	actress_2	6359	9767700	अभिनय करनेवाली स्त्री	['a female actor']	"""मधुबाला एक मशहूर अभिनेत्री थीं ।"""	[]
46	अभिनेय_1	actable_1	28671	795785	अभिनय करने योग्य	['capable of being acted', ' suitable for the stage']	"""इस नाटक का कथानक और अभिनेय पक्ष सबल है ।"""	['an actable scene']
47	अभिनिवेश_3	perseverance_2	26186	4864515	दृढ़ संकल्प	['persistent determination']	"""भीष्मपितामह का अभिनिवेश उनकी पराजय का कारण बना ।"""	[]
48	अभिनीत_1	staged_1	21843	2294440	अभिनय किया हुआ	['written for or performed on the stage']	"""यह बच्चों द्वारा अभिनीत फिल्म है ।"""	['a staged version of the novel']
49	अभिन्न_3	intimate_2	2099	453308	बहुत निकट का या बहुत करीबी	['marked by close acquaintance, association, or familiarity']	"""राम मेरा घनिष्ठ मित्र है । / राम और श्याम में गाढ़ी मित्रता है ।"""	['intimate friend', 'intimate relations between economics, politics, and legal principles']
50	अभिप्रेरण_1	motivation_1	10399	23773	वह मानसिक लक्षण जो व्यक्ति को कोई काम करने के लिए जागृत करता है	['the psychological feature that arouses an organism to action toward a desired goal', ' the reason for the action', ' that which gives purpose and direction to behavior']	"""महान लोगों का व्यक्तित्व अभिप्रेरण का काम करता है ।"""	['we did not understand his motivation', 'he acted with the best of motives']
51	अभिरक्षा_1	custody_5	10401	818678	किसी संपत्ति को रक्षित रखने के लिए अथवा किसी व्यक्ति को भागने आदि से रोकने के लिए अपने अधिकार या रक्षा में लेकर रखने की क्रिया या भाव	"[""(with `in' ) guardianship over"", ' in divorce cases it is the right to house and care for and discipline a child']"	"""भरत शाह को तीन महीने तक पुलिस अभिरक्षा में रखा गया था ।"""	"['my fate is in your hands', ""too much power in the president' s hands"", 'your guests are now in my custody', 'the mother was awarded custody of the children']"
52	अभिरुचि_3	interest_6	3030	5682950	मन को अच्छा लगने का भाव	['a sense of concern with and curiosity about someone or something']	"""वह अपनी रुचि के अनुसार ही कोई काम करता है ।"""	['an interest in music']
53	अभिशाप_1	curse_1	3008	7160424	किसी के अनिष्ट की कामना से कहा हुआ शब्द या वाक्य	['an evil spell']	"""गौतम ऋषि के शाप से अहिल्या पत्थर हो गयी ।"""	['a witch put a curse on his whole family', 'he put the whammy on me']
54	अभिशप्त_2	accursed_3	10096	669853	शाप दिया हुआ	['under a curse']	"""शापित अर्जुन वृहन्नला के रूप में राजा विराट के घर उसकी बेटी उत्तरा को नृत्य की शिक्षा दे रहे थे ।"""	[]
55	अभिसार_1	meeting_2	78	7414922	मिलने की क्रिया या भाव	['a casual or unexpected convergence']	"""नाटक की समाप्ति पर नायक और नायिका का मिलन हुआ ।"""	['he still remembers their meeting in Paris', 'there was a brief encounter in the hallway']
56	अभिसरण_1	convergence_1	26293	146572	आगे या सम्मुख जाने की क्रिया	['the act of converging (coming closer)']	"""नई बहू लोगों के अभिसरण के समय लजा रही थी ।"""	[]
57	अभिवृत्ति_2	aptitude_1	10402	5622456	कोई काम करने का प्राकृतिक रुझान	['inherent ability']	"""अच्छी अभिवृत्ति सफल जीवन में सहायक होती है ।"""	[]
58	अभिव्यक्त_1	expressed_6	4041	2284023	जिसका अभिव्यंजन हुआ हो या प्रकट किया हुआ	['communicated in words']	"""अभिव्यक्त भाव को छुपाने की कोशिश क्यों कर रहे हो ।"""	['frequently uttered sentiments']
59	अभिव्यक्ति_1	expression_3	3753	7139873	मन के भाव आदि के प्रकट होने, करने या स्पष्ट रूप से सामने आने की क्रिया या भाव	['the communication (in speech or writing) of your beliefs or opinions']	"""कवि कविता के माध्यम से अपने विचारों की अभिव्यक्ति करता है ।"""	['expressions of good will', 'he helped me find verbal expression for my ideas', 'the idea was immediate but the verbalism took hours']
60	अभिधारणा_1	postulate_1	23708	6753299	वह कथन जिसे सत्य माना गया हो और जो किसी परिकल्पना का आधार बनाता हो	['(logic) a proposition that is accepted as true in order to provide a basis for logical reasoning']	"""कुछ अभिधारणाएँ समय की कसौटी पर खरी नहीं उतरती हैं ।"""	[]
61	अभियंता_1	engineer_1	10400	9615807	अभियांत्रिकी विद्या का ज्ञाता	['a person who uses scientific knowledge to solve practical problems']	"""कई भारतीय अभियंता विदेशों में जाकर बस गए हैं ।"""	[]
62	अभियान_1	campaign_1	28471	798245	कार्यों की एक श्रृंखला जो किसी सिद्धांत को आगे बढ़ाए या किसी विशेष समाप्ति की ओर मोड़ दे या ले जाए	['a series of actions advancing a principle or tending toward a particular end']	"""उसने जनवादी आंदोलन का समर्थन किया ।"""	['he supported populist campaigns', 'they worked in the cause of world peace', 'the team was ready for a drive toward the pennant', 'the movement to end slavery', 'contributed to the war effort']
63	अभियान_2	expedition_2	28403	8409130	लोगों आदि का एक संगठित दल जो एक विशेष कार्य से यात्रा का बीड़ा उठाया हो	['an organized group of people undertaking a journey for a particular purpose']	"""चंद्रमा पर एक अभियान दल गया है ।"""	['an expedition was sent to explore Mars']
64	अभियान_2	expedition_2	7753	309647	कोई बहुत बड़ा उद्देश्य सिद्ध करने के लिए निकलने या चल पड़ने की क्रिया	['a journey organized for a particular purpose']	"""सरकार ने लोगों को साक्षर करने के लिए साक्षरता अभियान चलाया है ।"""	[]
65	अभियोग_1	accusation_1	2999	7234230	किसी के विषय में यह कहने की क्रिया कि अमुक ने अनुचित, दंडनीय या नियम-विरुद्ध कार्य किया है	['a formal charge of wrongdoing brought against a person', ' the act of imputing blame or guilt']	"""भ्रष्टाचार के आरोप में उसे निलंबित किया गया है ।"""	[]
66	अभियोग_3	case_1	7606	1182654	अभियोग, अपराध, अधिकार या लेन-देन आदि से संबंध रखने वाला वह विवाद जो न्यायालय के सामने किसी पक्ष की ओर से विचार के लिए रखा जाए	['a comprehensive term for any proceeding in a court of law whereby an individual seeks a legal remedy']	"""यह मुकदमा न्यायालय में विचाराधीन है ।"""	['the family brought suit against the landlord']
67	अभियुक्त_1	accused_2	3479	9762011	वह जिस पर कोई अभियोग लगाया या मुकदमा चलाया गया हो	['a defendant in a criminal proceeding']	"""अभियुक्त पुलिस को चकमा देकर फरार हो गया ।"""	[]
68	अबोध_1	innocent_2	3102	2272670	जिसके मन में छल-कपट न हो और जो एकदम सीधा-सादा हो	['lacking in sophistication or worldliness']	"""आजकल सरल लोगों को बुद्धू समझा जाता है ।"""	"[""a child' s innocent stare"", 'his ingenuous explanation that he would not have burned the church if he had not thought the bishop was in it']"
69	अबोध_2	ignorant_5	36610	1308894	जिसे अभी यथेष्ठ ज्ञान या समझ न हो	['unaware because of a lack of relevant information or knowledge']	"""यह बात उसकी बाल बुद्धि को समझ नहीं आया ।"""	['he was completely ignorant of the circumstances', 'an unknowledgeable assistant', 'his rudeness was unwitting']
70	अबोध्य_1	incomprehensible_6	23054	533851	जिसका बोध न हो सके	['difficult to understand']	"""प्रकृति में बहुत कुछ अबोध्य हैं ।"""	['the most incomprehensible thing about the universe is that it is comprehensible']
71	अभ्र_1	cloud_1	2182	9247410	पृथ्वी पर के जल से निकली हुई वह भाप जो घनी होकर आकाश में फैल जाती है और जिससे पानी बरसता है	['a visible mass of water or ice particles suspended at a considerable altitude']	"""आकाश में काले-काले बादल छाये हुए हैं ।"""	[]
72	अभुक्त_4	unused_2	4531	418198	जो व्यवहार में न लाया गया हो	['not yet used or soiled']	"""उसने कोरी वस्तुओं को ग़रीबों में बाँट दिया ।"""	['a fresh shirt', 'a fresh sheet of paper', 'an unused envelope']
73	आभूषित_1	ornamented_1	1163	2017141	अलंकार किया हुआ या जो रत्नों आदि से सजा हो	['rich in decorative detail']	"""समारोह में स्वर्णाभूषणों से अलंकृत महिला पर सबकी निगाहें टिकी हुई थीं ।"""	[]
74	अभूतपूर्व_1	unprecedented_3	2687	128572	जैसा पहले न हुआ हो	['having no precedent', ' novel']	"""श्याम को परीक्षा में अभूतपूर्व सफलता मिली ।"""	['an unprecedented expansion in population and industry']
75	अब्द_1	year_1	7954	15203791	बारह महीनों का समूह जो काल गणना में एक मान है	['a period of time containing 365 (or 366) days']	"""उसका लड़का अभी एक वर्ष का है ।"""	['she is 4 years old', 'in the year 1920']
76	अब्धि_1	sea_1	2650	9426788	खारे पानी की वह विशाल राशि जो चारों ओर से पृथ्वी के स्थल भाग से घिरी हुई हो	['a division of an ocean or a large body of salt water partially enclosed by land']	"""समुद्र रत्नों की खान है ।"""	[]
77	आब्दिक_1	yearly_1	10225	1969150	जो प्रति वर्ष होता हो	['occurring or payable every year']	"""महेश की वार्षिक आय अस्सी हज़ार है ।"""	['an annual trip to Paris', 'yearly medical examinations', 'annual (or yearly) income']
78	अभ्यागत_1	guest_2	2611	10150940	बिना पहले से तिथि, समय आदि की सूचना दिए हुए घर में अचानक या बताकर आ पहुँचने वाला कोई प्रिय अथवा सत्कार योग्य व्यक्ति	['a visitor to whom hospitality is extended']	"""अतिथियों का सम्मान करना हमारा कर्तव्य है क्योंकि अतिथि देवतुल्य होते हैं ।"""	[]
79	आभ्यंतरिक_1	internal_6	2098	948670	जो अंदर का हो	['happening or arising or located within some limits or especially surface']	"""वह मानव की भीतरी शारीरिक संरचना का अध्ययन कर रहा है ।"""	['internal organs', 'internal mechanism of a toy', 'internal party maneuvering']
80	अभ्यर्थी_2	suppliant_1	30650	10420031	प्रार्थना या आवेदन करनेवाला व्यक्ति	['one praying humbly for something']	"""सभी प्रार्थियों के प्रार्थना-पत्र नहीं स्वीकारे जायेंगे ।"""	['a suppliant for her favors']
81	अभ्यर्थी_3	candidate_1	13592	9890749	किसी पद पर चुने जाने के लिए खड़े होनेवाला व्यक्ति	['someone who is considered for something (for an office or prize or honor etc.)']	"""यहाँ से काँग्रेस प्रत्याशी की जीत हुई ।"""	[]
82	अभ्यास_1	practice_1	3015	894552	पूर्णता या दक्षता प्राप्त करने के लिए बार-बार एक ही क्रिया का साधन	['systematic training by multiple repetitions']	"""निरंतर अभ्यास से दक्षता पाई जा सकती है ।"""	['practice makes perfect']
83	अभ्यस्त_1	accustomed_1	3013	24417	जिसे किसी चीज की आदत हो	"[""(often followed by `to' ) in the habit of or adapted to""]"	"""यह सुधार केन्द्र नशे के आदी लोगों के लिए है ।"""	"['accustomed to doing her own work', ""I' ve grown accustomed to her face""]"
84	अभ्युत्थान_1	rise_1	28050	7324917	उठने की क्रिया	['a growth in strength or number or importance']	"""राष्ट्र के अभ्युत्थान का यह सुनहरा मौका है ।"""	[]
85	अचल_1	immovable_3	2422	1525320	जो अपने स्थान से हटे नहीं या जिसे हटाया न जा सके	['not able or intended to be moved']	"""पर्वत स्थिर होते हैं ।"""	['the immovable hills']
86	अचल_4	motionless_1	2341	1564315	जो चल न सके या जिसमें गति न हो	['not in physical motion']	"""वनस्पतियाँ सजीव होते हुए भी अचल हैं ।"""	['the inertia of an object at rest']
87	अचंभा_1	wonder_1	14955	7289588	अचरज की बात	['something that causes feelings of wonder']	"""उसका अचंभा सुनकर हम भी अचंभित हो गए ।"""	['the wonders of modern science']
88	अचंभा_2	surprise_1	2426	7510348	मन का वह भाव जो किसी नई, विलक्षण या असाधारण बात को देखने, सुनने या ध्यान में आने से उत्पन्न होता है	['the astonishment you feel when something totally unexpected happens to you']	"""आश्चर्य की बात यह है कि इतनी बड़ी ख़बर सुनकर भी उन्होनें कोई प्रतिक्रिया नहीं की ।"""	[]
89	अचानक_1	suddenly_1	51	61677	एकदम से	['happening unexpectedly']	"""हम ज्यों ही घर से बाहर निकले अचानक बारिश होने लगी । / वह चलते-चलते अचानक रुक गया ।"""	['suddenly she felt a sharp pain in her side']
90	आचार_1	conduct_2	1843	1220984	सामाजिक संबंधों में औरों के साथ किया जाने वाला आचरण	['manner of acting or controlling yourself']	"""उसका व्यवहार अच्छा नहीं है ।"""	[]
91	आचार_4	ethos_1	2166	4723286	जनता में प्रचलित व्यवहार	['(anthropology) the distinctive spirit of a culture or an era']	"""पहले के समय में शिक्षा के अभाव में बहुत विचित्र प्रकार के लोकाचार प्रचलित थे ।"""	['the Greek ethos']
92	आचारशास्त्र_2	ethics_1	9299	6159473	वह शास्त्र जिसमें मनुष्य समाज के हित के लिए देश, काल और पात्र के अनुसार आचार-व्यवहार तथा प्रबंध एवं शासन का विधान हो	['the philosophical study of moral values and rules']	"""चंद्रगुप्त के शासन काल में चाणक्य ने नीतिशास्त्र लिखा था ।"""	[]
93	आचार्य_1	teacher_2	2803	10694258	वह व्यक्ति जो विद्यार्थियों को पढ़ाता है	['a person whose occupation is teaching']	"""अध्यापक और छात्र का संबंध मधुर होना चाहिए ।"""	[]
94	आचार्य_5	principal_4	2155	10474645	किसी विद्यालय अथवा महाविद्यालय के आचार्यों में प्रधान जिसके पास कार्यकारिणी अधिकार होते हैं	['the educator who has executive authority for a school']	"""पंडित राम मनोहरजी इस विद्यालय के प्रधानाचार्य हैं ।"""	['she sent unruly pupils to see the principal']
95	अच्छा_1	good_1	28106	1048762	जो अच्छी तरह से परिणाम के रूप में हो या आए	['resulting favorably']	"""यह अच्छी बात है कि मैं वहाँ नहीं था । / यह अच्छा है कि आपको किसी ने नहीं देखा ।"""	"[""its a good thing that I wasn' t there"", 'it is good that you stayed', 'it is well that no one saw you', ""all' s well that ends well""]"
96	अच्छा_1	good_1	32	1123148	जो भला या अच्छा हो या जिसमें अच्छे गुण हों या जिसके काम आदि से दूसरों का भला हो	['having desirable or positive qualities especially those suitable for a thing specified']	"""दुनिया में अच्छे लोगों की कमी नहीं है ।"""	['good news from the hospital', 'a good report card', 'when she was good she was very very good', 'a good knife is one good for cutting', 'this stump will make a good picnic table', 'a good check', 'a good joke', 'a good exterior paint', 'a good secretary', 'a good dress for the office']
97	अच्छा_2	fine_1	22197	2081114	जो हर तरह से अच्छी अवस्था में हो	['being satisfactory or in satisfactory condition']	"""मैं अच्छा हूँ । आप कैसे हैं ?"""	"['an all-right movie', 'the passengers were shaken up but are all right', 'is everything all right?', ""everything' s fine"", 'things are okay', 'dinner and the movies had been fine', ""another minute I' d have been fine""]"
98	अच्छा_8	well_9	14108	13092	अच्छी तरह से या ऐसा जो प्रशंसा के योग्य हो	['favorably', ' with approval']	"""आज सचिन ने अच्छा खेला ।"""	['their neighbors spoke well of them', 'he thought well of the book']
99	अच्छा_8	well_9	9665	13793	* लाभप्रद ढंग से या इस प्रकार से कि लाभ हो	['in a manner affording benefit or advantage']	"""मेरा व्यवसाय ठीक-ठाक चल रहा है ।"""	['she married well', 'The children were settled advantageously in Seattle']
100	अच्छाई_1	goodness_1	1376	5142180	वह अवस्था या भाव जिससे किसी चीज़ की उत्कृष्टता का पता चलता है	['that which is pleasing or valuable or useful']	"""वह पाठशाला में अपनी अच्छाई के लिए जाना जाता है ।"""	['weigh the good against the bad', 'among the highest goods of all are happiness and self-realization']
101	अच्छाई_2	virtue_1	75	4847482	अच्छा गुण	['a particular moral excellence']	"""सद्गुण मनुष्य का आभूषण है ।"""	[]
102	आच्छादन_1	covering_1	804	3122748	वह वस्तु जिससे किसी वस्तु आदि को आच्छादित किया जाए या ढकने की वस्तु	['an artifact that covers something else (usually to protect or shelter or conceal it)']	"""आच्छाद से वस्तुएँ सुरक्षित रहती हैं ।"""	[]
103	आच्छादन_1	covering_1	31392	1049685	ढकने या छिपाने की क्रिया	['the act of concealing the existence of something by obstructing the view of it']	"""सहज स्वभाव का आच्छादन इतना सहज भी नहीं होता है ।"""	['the cover concealed their guns from enemy aircraft']
