	hindi_word
197	अतिमानवीय,
198	अतिमूत्रता,
199	अतिरंजन,
200	अतिराष़्ट्रीय,
201	अतिराष्ट्रीयता,
202	अतिरिक्त राशि,
203	अतिरिक्त लड़ाई का सामान,
204	अतिरिक्त वस्तु,
205	अतिरिक्तता,
206	अतिलंघन,
207	अतिवादवादिता,
208	अतिवादवादी,
209	अतिव्यय,
210	अतिव्यस्त कार्यक्रम,
211	अतिसंवेदनशीलता,
212	अतिसावधान,
213	अतिसावधानता,
214	अतिसूक्ष्म परमाणु,
215	अतिसूक्ष्म रेखा,
216	अतिसूक्ष्मदतर्शी,
217	अतुल्यता,
218	अत्तार,
219	अत्यधिक ऊँचा,
220	अत्यधिक खा,
221	अत्यधिक मज़ा आना,
222	अत्यधिकता से,
223	अत्यन्त परिश्रम कर,
224	अत्याज्य,
225	अत्याधिक ब्याज,
226	अत्र,
227	अथवा,
228	अदंडनीय,
229	अदबदाकर,
230	अदला बदला कर,
231	अदला बदला,
232	अदा कर,
233	अदाकारी,
234	अदाजा,
235	अदालतबाज़,
236	अदालतबाज़ी,
237	अदीक्षित,
238	अदूषित,
239	अदृश्य हो,
240	अदृष्टवादी,
241	अदेशी,
242	अधखुली आँखों से देख,
243	अधमर्ण,
244	अधर्मर्मी,
245	अधिक उत्तेजना होना,
246	अधिक खराब,
247	अधिक चरबी वाला खाना,
248	अधिक ठंड से सुन्न होना,
249	अधिक दुरुपयोग,
250	अधिक पका,
251	अधिक पैसा वसूल,
252	अधिक बढा हुआ,
253	अधिक भावना प्रकट कर,
254	अधिक भावुक,
255	अधिक मदिरापान के बाद सिरदर्द,
256	अधिक मात्रा मे उपज,
257	अधिक मात्रा में,
258	अधिक मोल या अधिक दाम,
259	अधिक विस्तार से,
260	अधिक संख्या,
261	अधिक हो,
262	अधिकपदत्व,
263	अधिकाधिक,
264	अधिकार जमा ले,
265	अधिकार दे,
266	अधिकार प्रदान कर,
267	अधिकार से हठा,
268	अधिकारिक पहचान दे,
269	अधिकृत या अधीन क्षेत्र,
270	अधिकृत हो,
271	अधिकृतकृति,
272	अधिकेंद्र,
273	अधित्याग,
274	अधिनहन,
275	अधिनायकतंत्र,
276	अधिनायकत्व,
277	अधिनायकवाद,
278	अधिनियमममन,
279	अधिनिर्णयन,
280	अधिप्राप्ति,
281	अधिभोक्ता,
282	अधिमान,
283	अधिमानता,
284	अधिमान्य,
285	अधिमान्यता,
286	अधिराजत्व,
287	अधिरोहन,
288	अधिरोही,
289	अधिशोषण,
290	अधिसूचना,
291	अधिस्वर,
292	अधीन राज्य,
293	अधीरत से,
294	अधुरा,
295	अधुरापन,
296	अधैर्यता,
297	अधोगमनगामी,
298	अधोवर्ती,
299	अध्यक्षता निभा,
300	अध्ययन कर,
301	अध्ययन गोष्ठी,
302	अध्यवसाययी,
303	अध्यात्मपरक,
304	अध्यात्मवाद,
305	अध्यापकपन,
306	अध्याप्ति,
307	अध्यारोपित कर,
308	अनंतता,
309	अनंतिम,
310	अनखुला,
311	अनगढ़पन,
312	अनगिनत संख्या,
313	अनजाने,
314	अनटूटा,
315	अनदेखी,
316	अनध्यायकाल,
317	अननुकूल,
318	अननुमेय,
319	अनन्यसंक्राम्य,
320	अनपचा,
321	अनर्गलता,
322	अनर्थकता,
323	अनवधिक,
324	अनवरत प्रवाह,
325	अनवलंब,
326	अनाक्रांत,
327	अनाक्रान्त,
328	अनाचारचारी,
329	अनाज काट,
330	अनात्मवादिता,
331	अनात्मवादी,
332	अनादर कर,
333	अनाधिकारिक,
334	अनासक्तक्ति,
335	अनिंदित,
336	अनिच्छा से,
337	अनिमंत्रित आ,
338	अनियतकालिक,
339	अनियम,
340	अनियमित रूप से,
341	अनियमितता,
342	अनिश्चायक,
343	अनिश्चित स्थिति,
344	अनुकरण कर,
345	अनुकरणकरणीय,
346	अनुकरणक्रिया,
347	अनुकल्प,
348	अनुकार्य,
349	अनुकूल प्रचार,
350	अनुकूल बना,
351	अनुकूल हो,
352	अनुकूलतम,
353	अनुकूलनीय,
354	अनुकूलनीयता,
355	अनुकृती,
356	अनुक्रमण,
357	अनुगतगति,
358	अनुगमन कर,
359	अनुगमनगामी,
360	अनुगुण,
361	अनुगुणगुणता,
362	अनुचिंतन,
363	अनुचित या अयोग्य रीति से,
364	अनुचित रूप से अपना बना ले,
365	अनुचिन्ह,
366	अनुच्चरित,
367	अनुज्ञेय,
368	अनुतट,
369	अनुतान,
370	अनुत्तीर्ण,
371	अनुदत्ताधिकार,
372	अनुदर्शन,
373	अनुदर्शी,
374	अनुनादनादक,
375	अनुपजाऊ,
376	अनुपयोगीगिता,
377	अनुपार्जित,
378	अनुपूर्ति,
379	अनुपूर्वी,
380	अनुपोषण,
381	अनुप्रयुक्त,
382	अनुप्राणित,
383	अनुबंधकारी,
384	अनुबोधन,
385	अनुभव कर,
386	अनुभववाद,
387	अनुभवातीतवाद,
388	अनुमतमति,
389	अनुमति दे,
390	अनुमान कर,
391	अनुमेय,
392	अनुमोदन कर,
393	अनुयान,
394	अनुरक्तरक्ति,
395	अनुरणन,
396	अनुरेखण,
397	अनुरोध कर,
398	अनुर्वर,
399	अनुर्वरता,
400	अनुलाभ,
401	अनुलिपिकरण,
402	अनुल्लंघनीय,
403	अनुवर्धन कर,
404	अनुवात दूरी,
405	अनुवाद कर,
406	अनुवादवादक,
407	अनुशासन में रह कर शिक्षा दे,
408	अनुशासनशासक,
409	अनुशासनशासी,
410	अनुशासित कर,
411	अनुश्रवण,
412	अनुश्रुत,
413	अनुष्ठानकर्ता,
414	अनुसंधान कर,
415	अनुसंधानधाता,
416	अनुसरण कर,
417	अनुसूची,
418	अनुसेवी,
419	अनुस्वार,
420	अनुहर्ता,
421	अनूज्ञा,
422	अनूठी खबर,
423	अनूदित,
424	अनूद्य,
425	अनेक प्रकार,
426	अनेकवाद,
427	अनेकविध,
428	अनैतिहासिक,
429	अनोखी,
430	अनौपचारिकता,
431	अन्त तक,
432	अन्तरिक्ष यान मे प्रयाण करने वाला,
433	अन्तरित कर,
434	अन्तरिम अवधि,
435	अन्तर्जलीय,
436	अन्तर्निहित शक्ति,
437	अन्तर्भूमिक,
438	अन्तर्राष्ट्रीय कम्प्यूटर तन्त्र,
439	अन्तर्शासकीय,
440	अन्तर्शिरा,
441	अन्तर्संबद्ध कर,
442	अन्तिम बार,
443	अन्तिम स्टेशन,
444	अन्त्य रोगी,
445	अन्दर के कपडे,
446	अन्दर पहनने का वस्त्र,
447	अन्दाज़ लगा,
448	अन्दाज़ लगाते हुए,
449	अन्धा कर,
450	अन्धाधुन्ध मार,
451	अन्न-जल,
452	अन्नदाता,
453	अन्य वाद्य के लिए तैयार कर,
454	अन्य विषय को विचारने की शक्ति,
455	अन्यत:,
456	अन्यथाकथन,
457	अन्यदेशी,
458	अन्यमनस्कमनस्कता,
459	अन्यसंक्रमण,
460	अन्यसंक्राम्यता,
461	अन्याय कर,
462	अन्याय का प्रतिकार,
463	अन्याय्य,
464	अन्याश्रित,
465	अन्योक्ति,
466	अन्योक्तिकार,
467	अन्योक्तिवादी,
468	अन्योन्य,
469	अन्योन्यक्रियता,
470	अन्योन्यक्रिया,
471	अन्योन्यता,
472	अन्योन्यश्रय,
473	अन्योन्यश्रयश्रयवाद,
474	अन्योन्याश्रित,
475	अन्वालोप,
476	अन्वेष,
477	अन्वेषित,
478	अन्वेष्य,
479	अपंग बन,
480	अपकर्ता,
481	अपकृतति,
482	अपकेंद्र,
483	अपगति,
484	अपघटित हो जा,
485	अपघर्षण,
486	अपचयन,
487	अपठित,
488	अपतृण,
489	अपधर्म,
490	अपना स्थान बनाए रख,
491	अपनाअपना,
492	अपनिर्वचन,
493	अपनी जगह से हटा दे,
494	अपने ऊपर ले,
495	अपने ऋण चुकाने में समर्थ,
496	अपने किये का फल भोग,
497	अपने पक्ष में जनमत तैयार कर,
498	अपमान कर,
499	अपमानलेख,
500	अपमानवचन,
501	अपमृत्यु का कारण ज्ञात करनेवाला अफ़सर,
502	अपरंच,
503	अपरदेशीयता,
504	अपराध कर्म,
505	अपराध बोध,
506	अपराध स्थापन,
507	अपराध स्वीकृति,
508	अपराधविज्ञ,
509	अपराधी ठहरा,
510	अपरिक्षित,
511	अपरिग्रह,
512	अपरिचित व्यक्ति,
513	अपरिपुष्ट,
514	अपरिभाषित,
515	अपरिमेय,
516	अपरिवर्ती,
517	अपरिहार,
518	अपरिह्म,
519	अपरेंटिस,
520	अपर्याप्त हो,
521	अपवर्जनवर्जी,
522	अपवर्तीता,
523	अपवहन,
524	अपवाह,
525	अपवाहिका,
526	अपविकास,
527	अपविचार,
528	अपवित्र कर,
529	अपविवृति,
530	अपवृध्दि,
531	अपव्ययव्ययी,
532	अपशकुन,
533	अपसूत्र,
534	अपसृति,
535	अपस्फीति,
536	अपहरण कर,
537	अपहरणहर्ता,
538	अपहसित,
539	अपाच्य,
540	अपावरण,
541	अपाहिज कर,
542	अपी,
543	अपेक्षाएँ पूरी कर,
544	अपोढ़ बालू रेती,
545	अपोषण,
546	अपौरूषेय,
547	अप्ना मत,
548	अप्रचलन,
549	अप्रत्यक्ष या परोक्ष रूप से,
550	अप्रभावित रह,
551	अप्रभावी,
552	अप्रयोग,
553	अप्रशन्न,
554	अप्रसन्न कर,
555	अप्रस्तुति,
556	अप्राप्तवय,
557	अप्रामाणिकता,
558	अप्रार्थित,
559	अप्रिय व्यक्ति,
560	अप्रियता,
561	अप्रियवादी,
562	अप्रैLअ,
563	अफ़सानागो,
564	अफ़सोसनाक,
565	अफारा,
566	अभद्र व्यवहार,
567	अभरक,
568	अभागिन,
569	अभावित,
570	अभिक्रियारिया,
571	अभिचार,
572	अभिचाररक,
573	अभिचाररक्रिया,
574	अभिचारी,
575	अभिजाततंत्र,
576	अभिजातवर्ग,
577	अभिजातवाद,
578	अभिजातवादी,
579	अभिज्ञात,
580	अभित्रास,
581	अभिनंदनदन-समारोह,
582	अभिनंदनदनीय,
583	अभिनति,
584	अभिनय कर,
585	अभिपुष्ट,
586	अभिपुष्टपुष्टि,
587	अभिपुष्टपोषक,
588	अभिपुष्टि,
589	अभिप्रायानुसार,
590	अभिमध्य,
591	अभियाचना,
592	अभियान चलानेवाला,
593	अभियोग इल्ज़ाम,
594	अभियोग कर,
595	अभिलक्षण,
596	अभिलम्ब,
597	अभिलाषाषी,
598	अभिलेखन कर,
599	अभिवादन कर,
600	अभिवेचन,
601	अभिव्यक्त कर,
602	अभिव्यक्तिव्यक्त,
603	अभिशंसी,
604	अभिषिक्त,
605	अभिषेक कर,
606	अभिसाक्ष्य,
607	अभी तक का,
608	अभेद्यता,
609	अभोग्य,
610	अभ्यर्थनर्थित,
611	अभ्यर्पण,
612	अभ्यस्त हो,
613	अभ्याक्रमण,
614	अभ्याक्रमणकारी,
615	अभ्यारोप या दोष लगा,
616	अभ्यारोपण,
617	अभ्यास कर,
618	अमंगल सूचक,
619	अमनपसंदी,
620	अमर बना,
621	अमर्त्यता,
622	अमर्दित,
623	अमर्याददा,
624	अमर्याददित,
625	अमानतदार,
626	अमान्यता,
627	अमीट,
628	अमूर्तवाद,
629	अमृतबान,
630	अम्ल कर,
631	अयंत्रित,
632	अयुक्तता,
633	अयुक्ति,
634	अयुग्मिता,
635	अरक़,
636	अरगनी,
637	अराजकतावाद,
638	अराजकतावादिता,
639	अरीय,
640	अरूचि,
641	अरूचिकर,
642	अरूढ़,
643	अरे,
644	अर्गला से बंद कर,
645	अर्जक,
646	अर्जन कर,
647	अर्जनशील,
648	अर्ज़दाश्त,
649	अर्ज़मंद,
650	अर्ज़हाल,
651	अर्ज़ीदार,
652	अर्ज़ीदावा,
653	अर्थ प्रबन्धन,
654	अर्थ सूचित कर,
655	अर्थक्रियावाद,
656	अर्थक्रियावादवादी,
657	अर्थच्छवि,
658	अर्थपूर्णतासे,
659	अर्थमिति,
660	अर्थवता,
661	अर्थवाद,
662	अर्थवादी,
663	अर्थशास्त्रशास्त्री,
664	अर्दास,
665	अर्धचंद्र,
666	अर्धचंद्राकार,
667	अर्धविराम,
668	अर्धवृतानुमा कक्ष,
669	अर्धशिक्षित,
670	अर्धसरकारी,
671	अर्धसाप्ताहिक,
672	अर्धांग,
673	अर्पण कर,
674	अर्पण,
675	अर्हंत,
676	अलंकारशास्त्र,
677	अलंकारशीस्त्री,
678	अलंकृत कर,
679	अलंघनीय,
680	अलकाश,
681	अलकोहल,
682	अलग कर,
683	अलग करना या हो जा,
684	अलग रख,
685	अलग से रख,
686	अलग हो,
687	अलगहो,
688	अलग़रज़,
689	अलग़रज़ग़रज़ी,
690	अलगा,
691	अलगोज़ा,
692	अलगौझा,
693	अलग्न,
694	अलचीली,
695	अलबता,
696	अलभ्य कलाकृति,
697	अलमूनियम,
698	अलहदादगी,
699	अलाप,
700	अलार्म,
701	अलिंगी,
702	अलोकप्रिय,
703	अल्पकालीन संघटन,
704	अल्पजनतंत्र,
705	अल्पजीवी,
706	अल्पतंत्र,
707	अल्पतम,
708	अल्पदृश्यता,
709	अल्पनिद्रा,
710	अल्पप्राण,
711	अल्पबुद्दि,
712	अल्पमात्रा,
713	अल्पवय,
714	अल्पविराम,
715	अल्पव्यय सम्बन्धी,
716	अल्पसंख्यकों की अविकसित जगह,
717	अल्पसंख्या,
718	अल्पायु,
719	अल्पाहार जलपान,
720	अवकरण,
721	अवकाश प्राप्त कर,
722	अवकाश ले,
723	अवचार,
724	अवज्ञा कर,
725	अवज्ञापूर्ण,
726	अवतरित,
727	अवतारी,
728	अवतीर्ण,
729	अवधारणरणा,
730	अवधि बीतने पर भी जो चुकाया न गया हो,
731	अवनत हो जा,
732	अवनतनति,
733	अवनति कर,
734	अवनमन,
735	अवनिपति,
736	अवपीड़न,
737	अवप्रेरण,
738	अवमानित कर,
739	अवमूल्यन कर,
740	अवयस्कता,
741	अवरता,
742	अवरुद्ध हो,
743	अवरोध कर,
744	अवरोधिनी,
745	अवलंबबन,
746	अवलि,
747	अवलोककित,
748	अववाहिता,
749	अवशिष्ट भोजन,
750	अवशीत,
751	अवशोषक,
752	अवश्यंभावीविता,
753	अवस्फीति,
754	अवहेलना कर,
755	अवहेलनापूर्ण,
756	अवांछनीय व्यवहार,
757	अवास्तव,
758	अविकार,
759	अविकारी,
760	अविकास,
761	अविकृतति,
762	अवितथता,
763	अवितान्य,
764	अविधिमान्य कर,
765	अविलेय,
766	अविवक्षित,
767	अविवाह,
768	अविवेचित,
769	अविश्वास कर,
770	अविश्वासनीय,
771	अविश्वास्य,
772	अवैतनिक,
773	अवैतानिक,
774	अवैध रूप से बस जा,
775	अवैधानिक घोषित कर,
776	अव्यक्तिवाद,
777	अव्यक्तिवादी,
778	अव्ययीभाव,
779	अव्यवस्थित वस्तुओं का समूह,
780	अव्यवहारिक,
781	अव्याप्त,
782	अशंकनीय,
783	अशक्त व्यक्ति,
784	अशान्तिपूर्ण हो,
785	अशास्कीय,
786	अशिव,
787	अशुद्ध कर,
788	अशुद्धद्धता,
789	अशुद्धद्धि,
790	अशोभन,
791	अश्क़,
792	अश्मीकृत हो,
793	अश्रद्धाद्धालु,
794	अश्राव्य,
795	अश्रुतपूर्व,
796	अश्वशाला के अलग अलग कमरें,
797	अश्वसन,
798	अश्वारोही सेना,
799	असंकुल,
800	असंक्राम्य,
801	असंगत बात कर,
802	असंगत बातें करना या लिख,
803	असंतोषपूर्वक कुछ कह,
804	असंबद्धता,
805	असंरचित,
806	असंहित,
807	असती,
808	असतीत्व,
809	असत्कारी,
810	असत्कार्य,
811	असत्त्व,
812	असद्दाचार,
813	असद्द्बुद्धि,
814	असद्द्भाव,
815	असन्तोषजनक,
816	असपष्टता,
817	असफल व्यक्ति,
818	असफल हो जा,
819	असफल हो,
820	असभ्य व्यक्ति,
821	असभ्य व्यवहार,
822	असमंजस में डाल,
823	असमंजित,
824	असमत,
825	असमतफ़रोश,
826	असमता,
827	असमन्वय,
828	असममित,
829	असमाधानीय,
830	असमाधेय,
831	असम्भाव्य रूप से,
832	असम्भाव्यता,
833	असम्मेय,
834	असला,
835	असहमत हो,
836	असहयोग,
837	असहाय छोड़,
838	असह्यता से,
839	असांप्रदायिकता,
840	असाधारण व्यक्ति,
841	असामर्थ्यता,
842	असाम्य,
843	असार्वजनिक,
844	असीम रूप से,
845	असीस,
846	असुंदरता,
847	असुचित,
848	असैनिक कर्मचारी,
849	असौष्ठव,
850	अस्त व्यस्त की स्थिति,
851	अस्तप्राय,
852	अस्तव्यस्त और भटकाने वाला,
853	अस्तव्यस्तता,
854	अस्ताबल,
855	अस्तित्व में हो,
856	अस्तित्व हो,
857	अस्तु,
858	अस्नेही,
859	अस्पटाल,
860	अस्पष्ट आवाज़,
861	अस्पष्ट उच्चारण,
862	अस्पष्ट छाया दीख,
863	अस्वभाविक अभिनेता,
864	अस्वस्था,
865	अस्वीकार कर,
866	अस्वीकृत वस्तु,
867	अस्वीकृतति,
868	अहंवादिता,
869	अहम्मन्यता,
870	अहरणीय,
871	अहह,
872	अहिंदी,
873	अहिंसात्मक,
874	अहिच्छत्रक,
875	अहितेच्छा,
876	अहो,
877	अह्वान कर,
878	आ घेर,
879	आ जा,
880	आ पड़,
881	आ पुब्लिच् टेलेप्होने बोद्,
882	आँक,
883	आँकड़ी,
884	आँकलन,
885	आँख के पीछे का पर्दा,
886	आँख गड़ाकर देख,
887	आँख झपका,
888	आँख मिचक,
889	आँख मूँदकर विश्वास कर,
890	आँखों से,
891	आँगन,
892	आँचल,
893	आँचलिक,
894	आँत संबन्धी,
895	आँव,
896	आंचल,
897	आंतभौंम,
898	आंतर,
899	आंतरायिक,
900	आंतरिक रूप से,
901	आंदोलित,
902	आंशिक अंधकार,
903	आंशिक प्रश्न,
904	आइस-क्रीम,
905	आइसिंग,
906	आकर्णक,
907	आकर्षित कर,
908	आकर्षी,
909	आकस्मिक भाव परिवर्तन,
910	आकस्मिक रुप से,
911	आकस्मिक शासन,
912	आकस्मिक हड़तालों का सिलसिला,
913	आकार दे,
914	आकार बदलना,
915	आकार ले,
916	आकारर-विज्ञान,
917	आकारर-वैज्ञानिक,
918	आकाशगामि,
919	आकाशगामिता,
920	आकीशीय,
921	आकृति विज्ञान,
922	आकृतिवैज्ञानिक,
923	आकृष्ट कर,
924	आक्रमण कर,
925	आक्रमणात्मक,
926	आक्रामक रूप से,
927	आक्लांति,
928	आखिरी अवस्था,
929	आखिरी दम तक,
930	आखिरी स्थान,
931	आख्यातता,
932	आग बुझा,
933	आग-रोक,
934	आगमनात्मक,
935	आगमिक,
936	आगा पीछा कर,
937	आगे कूद,
938	आगे जा,
939	आगे दिया हुआ,
940	आगे निकल ज़ा,
941	आगे निकल जा,
942	आगे बढ,
943	आगे बढ़ जा,
944	आगे बढ़ा,
945	आगे बढा,
946	आगे हो,
947	आग्रहही,
948	आच्छद,
949	आच्छादित कर,
950	आजमा,
951	आजमाइशी,
952	आज़मा,
953	आज़ादख़याल,
954	आज़ादतबियत,
955	आज़ादमिज़ाज,
956	आज़ादीपसंद,
957	आज़िजी,
958	आजीवन,
959	आज्ञा दे,
960	आज्ञा न मान,
961	आज्ञा मान,
962	आज्ञापालन कर,
963	आज्ञापालन,
964	आटोमैटिक,
965	आड़ दे,
966	आड़े तिरछे जा,
967	आड़े तिरछे,
968	आडी दीवार,
969	आतंकवादिता,
970	आतत,
971	आतश-बाज़ी,
972	आता,
973	आतिशय्य,
974	आतुरालय,
975	आत्म संयम,
976	आत्मचरित,
977	आत्मचिंतन,
978	आत्मतृप्ति,
979	आत्मदाह,
980	आत्मनिंदा,
981	आत्मनिर्णय,
982	आत्मनिर्भरता,
983	आत्मनिवेदन,
984	आत्मप्रदर्शन,
985	आत्ममोह,
986	आत्मरति,
987	आत्मवाद,
988	आत्मवादी,
989	आत्मविजय,
990	आत्मविद्या,
991	आत्मविश्लेषी,
992	आत्मविश्वास कम कर,
993	आत्मविस्मृति,
994	आत्मशासन,
995	आत्मसंयमी,
996	आत्मसमर्पण कर,
997	आत्मसम्मान रख,
998	आत्मसम्मोह,
999	आत्मसाक्षात्कार,
1000	आत्मसात कर,
1001	आत्मसात,
1002	आत्मसाधना,
1003	आत्मस्वीकृति,
1004	आत्महनन,
1005	आत्मावलंबनबी,
1006	आत्मीकरण,
1007	आत्मोत्कर्ष,
1008	आदर कर,
1009	आदर्शपूर्ण,
1010	आदर्शलोक,
1011	आदर्शीकरण,
1012	आदर्शोक्ति,
1013	आदान प्रदान,
1014	आदाबअर्ज़,
1015	आदायी,
1016	आदिल,
1017	आदिष्ट,
1018	आदेश का पालन कर,
1019	आदेश जारी कर,
1020	आदेश दे,
1021	आदेश सूचक,
1022	आदेशशात्मक,
1023	आद्यक्षर,
1024	आधा कर दे,
1025	आधारवाक्य,
1026	आधिभौतिक,
1027	आधुनिक बना,
1028	आधुनिककता,
1029	आधुनिककीकरण,
1030	आध्यात्मविद्या सम्बन्धी,
1031	आध्यात्मिक,
1032	आनन-फ़ानन,
1033	आनने योग्य,
1034	आनन्द उठा,
1035	आनन्द का गीत,
1036	आनन्द फैला,
1037	आनन्दपूर्ण,
1038	आनन्दमय,
1039	आनन्दित होना,
1040	आनम्य,
1041	आनम्यता,
1042	आनरेरी,
1043	आना जा,
1044	आना-कानी,
1045	आना-जाना,
1046	आनी-जानी,
1047	आनुक्रमिक,
1048	आनुपूर्व्य,
1049	आनुमानिक,
1050	आनुरूप्य,
1051	आनुवांशिकी,
1052	आने दे,
1053	आन्वयिक,
1054	आप लोगों के लिये वर्जित,
1055	आपदापन्न,
1056	आपसी सम्बन्ध,
1057	आपातत:,
1058	आपातिक,
1059	आपात्,
1060	आपाधापी,
1061	आपूरित,
1062	आप्तत्व,
1063	आप्तोक्ति,
1064	आप्रेषक,
1065	आप्रेषी,
1066	आफटरनून,
1067	आफ़िस,
1068	आबकारी,
1069	आबेहयात,
1070	आभामण्डल,
1071	आभासी,
1072	आभिजात्य,
1073	आम रास्ता,
1074	आमफ़हम,
1075	आमिषभोजी,
1076	आमुख लिख,
1077	आमोद प्रमोद कर,
1078	आमोदप्रमोद,
1079	आयताकृति,
1080	आया-गया,
1081	आयातकर्ता,
1082	आयातकारी,
1083	आयुधशाला,
1084	आयुर्विज्ञान संबन्धी,
1085	आयुर्विज्ञानवैज्ञानिक,
1086	आयुस्,
1087	आयोजन कर,
1088	आयोजित कर,
1089	आरंभ करनेवाला,
1090	आरंभ का,
1091	आरंभ हो,
1092	आरंभ होना या कर,
1093	आरकेस्ट्रा,
1094	आरक्षित कर,
1095	आरक्षित भूमि,
1096	आरक्षित हो,
1097	आरज़ूमिन्नत,
1098	आरभट,
1099	आरम्भ कर,
1100	आरम्भ हो,
1101	आरम्भिक अवस्था,
1102	आरा मशीन,
1103	आराधना कर,
1104	आराम कर,
1105	आराम का,
1106	आराम दे,
1107	आरामपसंद,
1108	आरिज़ी,
1109	आरोग्यनिवास,
1110	आरोग्यलाभ,
1111	आरोपण कर,
1112	आरोहही,
1113	आर्कषक,
1114	आर्केस्ट्रा,
1115	आर्थिक सहायता दे,
