Hin_Label	Eng_Label	POS	MRS_Concept	MRS_Feature_Values
अंकन_4	noting_1	noun	_note_v_to	LBL: h* ARG0: e* ARG1: i* ARG2: p* 
अंकन_4	noting_1	noun	nominalization	LBL: h* ARG0: x* ARG1: h* 
अंकन_5	registering_1	noun	_register_v_1	LBL: h* ARG0: e* ARG1: i* ARG2: p* 
अंकन_5	registering_1	noun	nominalization	LBL: h* ARG0: x* ARG1: h* 
अंकन_6	valuing_1	noun	_value_v_1	LBL: h* ARG0: e* ARG1: i* ARG2: p* 
अंकन_6	valuing_1	noun	nominalization	LBL: h* ARG0: x* ARG1: h* 
अंकन_7	appraising_1	noun	_appraise_v_1	LBL: h* ARG0: e* ARG1: i* ARG2: p* 
अंकन_7	appraising_1	noun	nominalization	LBL: h* ARG0: x* ARG1: h* 
Oops!<class 'IndexError'>occurred.appraised_1,SOME PROBLEM IN FATCHING MRS VALUES #############

Oops!<class 'IndexError'>occurred.assessed_1,SOME PROBLEM IN FATCHING MRS VALUES #############

अँकरौरी_1	shard_1	noun	_shard/NN_u_unknown	LBL: h* ARG0: x* 
अँकवार_1	embrace_6	noun	_embrace_n_1	LBL: h* ARG0: x* 
अँकवार_2	bosom_1	noun	_bosom/NN_u_unknown	LBL: h* ARG0: x* 
अँकवार_3	lap_2	noun	_lap_n_1	LBL: h* ARG0: x* 
अँकवार_4	breast_1	noun	_breast_n_1	LBL: h* ARG0: x* 
अँकवार+दे_1	embrace_7	verb	_embrace_v_1	LBL: h* ARG0: e* ARG1: x* ARG2: p* 
अँकवार+को_1	embrace_8	verb	_embrace_v_1	LBL: h* ARG0: e* ARG1: x* ARG2: p* 
अँकवार+भर_1	embrace_9	verb	_embrace_v_1	LBL: h* ARG0: e* ARG1: x* ARG2: p* 
अँकवार+ले_1	embrace_10	verb	_embrace_v_1	LBL: h* ARG0: e* ARG1: x* ARG2: p* 
अँकवार+को_2	embrace_11	verb	_embrace_v_1	LBL: h* ARG0: e* ARG1: x* ARG2: p* 
अँकवैया_1	valuer_1	noun	_valuer/NN_u_unknown	LBL: h* ARG0: x* 
अँकवैया_2	appraiser_1	noun	_appraiser/NN_u_unknown	LBL: h* ARG0: x* 
अँकवैया_3	assessor_1	noun	_assessor/NN_u_unknown	LBL: h* ARG0: x* 
अँकाव_1	valuation_2	noun	_valuation_n_1	LBL: h* ARG0: x* 
अँकाव_2	appraisal_1	noun	_appraisal_n_of	LBL: h* ARG0: x* ARG1: i* 
अंकित_1	numbered_1	adj	_number_v_1	LBL: h* ARG0: e* ARG1: i* ARG2: x* 
अंकित_1	numbered_1	adj	parg_d	LBL: h* ARG0: e* ARG1: e* ARG2: x* 
अंकित_2	noted_1	adj	_note_v_to	LBL: h* ARG0: e* ARG1: i* ARG2: x* 
अंकित_2	noted_1	adj	parg_d	LBL: h* ARG0: e* ARG1: e* ARG2: x* 
अंकित_3	marked_1	adj	_mark_v_1	LBL: h* ARG0: e* ARG1: i* ARG2: x* 
अंकित_3	marked_1	adj	parg_d	LBL: h* ARG0: e* ARG1: e* ARG2: x* 
अंकित_4	ruled_1	adj	_rule_v_1	LBL: h* ARG0: e* ARG1: i* ARG2: x* 
अंकित_4	ruled_1	adj	parg_d	LBL: h* ARG0: e* ARG1: e* ARG2: x* 
अंकित_5	stamped_1	adj	_stamp_v_1	LBL: h* ARG0: e* ARG1: i* ARG2: x* 
अंकित_5	stamped_1	adj	parg_d	LBL: h* ARG0: e* ARG1: e* ARG2: x* 
अंकित_6	branded_1	adj	_brand_v_1	LBL: h* ARG0: e* ARG1: i* ARG2: x* 
अंकित_6	branded_1	adj	parg_d	LBL: h* ARG0: e* ARG1: e* ARG2: x* 
अंकित_7	lettered_1	adj	_letter_v_1	LBL: h* ARG0: e* ARG1: i* ARG2: x* 
अंकित_7	lettered_1	adj	parg_d	LBL: h* ARG0: e* ARG1: e* ARG2: x* 
अंकित_8	outlined_1	adj	_outline_v_to	LBL: h* ARG0: e* ARG1: i* ARG2: x* 
अंकित_8	outlined_1	adj	parg_d	LBL: h* ARG0: e* ARG1: e* ARG2: x* 
अंकित_9	drawn_1	adj	_draw_v_1	LBL: h* ARG0: e* ARG1: i* ARG2: x* 
अंकित_9	drawn_1	adj	parg_d	LBL: h* ARG0: e* ARG1: e* ARG2: x* 
अंकित_10	spotted_1	adj	_spot_v_1	LBL: h* ARG0: e* ARG1: i* ARG2: x* 
अंकित_10	spotted_1	adj	parg_d	LBL: h* ARG0: e* ARG1: e* ARG2: x* 
अंकित_11	stained_1	adj	_stain_v_1	LBL: h* ARG0: e* ARG1: i* ARG2: x* 
अंकित_11	stained_1	adj	parg_d	LBL: h* ARG0: e* ARG1: e* ARG2: x* 
अँकुड़ा_1	see_1	noun	_see_n_1	LBL: h* ARG0: x* 
अंकुर_1	sprout_1	noun	_sprout_n_1	LBL: h* ARG0: x* 
अंकुर_2	shoot_1	noun	_shoot_n_1	LBL: h* ARG0: x* 
अंकुर_3	bud_1	noun	_bud_n_1	LBL: h* ARG0: x* 
अंकुर_4	scar_1	noun	_scar_n_1	LBL: h* ARG0: x* 
अंकुरक_1	nest_1	noun	_nest_n_of	LBL: h* ARG0: x* ARG1: i* 
अंकुरण_1	sprouting_1	noun	_sprout_v_1	LBL: h* ARG0: e* ARG1: i* 
अंकुरण_1	sprouting_1	noun	nominalization	LBL: h* ARG0: x* ARG1: h* 
अंकुरण_2	shooting_1	noun	_shooting_n_1	LBL: h* ARG0: x* 
अंकुरण_3	germination_1	noun	_germination_n_1	LBL: h* ARG0: x* 
अँकुर_1	sprout_2	verb	_sprout_v_1	LBL: h* ARG0: e* ARG1: x* 
अँकुर_2	shoot_2	verb	_shoot_v_1	LBL: h* ARG0: e* ARG1: x* 
अँकुर_3	germinate_1	verb	_germinate_v_1	LBL: h* ARG0: e* ARG1: x* 
अँकुर_4	bud_2	verb	_bud_v_1	LBL: h* ARG0: e* ARG1: x* 
अंकुरित_1	sprouted_1	adj	_sprout_v_cause	LBL: h* ARG0: e* ARG1: i* ARG2: x* 
अंकुरित_1	sprouted_1	adj	parg_d	LBL: h* ARG0: e* ARG1: e* ARG2: x* 
अंकुरित_2	germinated_1	adj	_germinate_v_cause	LBL: h* ARG0: e* ARG1: i* ARG2: x* 
अंकुरित_2	germinated_1	adj	parg_d	LBL: h* ARG0: e* ARG1: e* ARG2: x* 
अंकुरित_3	begun_1	adj	_begin_v_1	LBL: h* ARG0: e* ARG1: i* ARG2: x* 
अंकुरित_3	begun_1	adj	parg_d	LBL: h* ARG0: e* ARG1: e* ARG2: x* 
अंकुश_1	goad_1	noun	_goad/NN_u_unknown	LBL: h* ARG0: x* 
अंकुश_2	transspur_1	noun	_transspur/NN_u_unknown	LBL: h* ARG0: x* 
अंकुश_3	impetus_1	noun	_impetus_n_1	LBL: h* ARG0: x* 
अंकुश_4	inhibition_1	noun	_inhibition_n_1	LBL: h* ARG0: x* 
अंकुश+दे_1	goad_2	verb	udef_q	LBL: h* ARG0: x* RSTR: h* BODY: h* 
अंकुश+दे_1	goad_2	verb	_goad/NN_u_unknown	LBL: h* ARG0: x* 
अंकुश+दे_2	spur_1	verb	_spur_v_1	LBL: h* ARG0: e* ARG1: x* ARG2: p* 
अंकुश+दे_3	goad_3	verb	udef_q	LBL: h* ARG0: x* RSTR: h* BODY: h* 
अंकुश+दे_3	goad_3	verb	_goad/NN_u_unknown	LBL: h* ARG0: x* 
अंकुश+मार_1	goad_4	verb	udef_q	LBL: h* ARG0: x* RSTR: h* BODY: h* 
अंकुश+मार_1	goad_4	verb	_goad/NN_u_unknown	LBL: h* ARG0: x* 
अंकुश+मार_2	spur_2	verb	_spur_v_1	LBL: h* ARG0: e* ARG1: x* ARG2: p* 
अंकुश+मार_3	goad_5	verb	udef_q	LBL: h* ARG0: x* RSTR: h* BODY: h* 
अंकुश+मार_3	goad_5	verb	_goad/NN_u_unknown	LBL: h* ARG0: x* 
अंकुश+लगा_1	goad_6	verb	udef_q	LBL: h* ARG0: x* RSTR: h* BODY: h* 
अंकुश+लगा_1	goad_6	verb	_goad/NN_u_unknown	LBL: h* ARG0: x* 
अंकुश+लगा_2	spur_3	verb	_spur_v_1	LBL: h* ARG0: e* ARG1: x* ARG2: p* 
अंकुश+लगा_3	goad_7	verb	udef_q	LBL: h* ARG0: x* RSTR: h* BODY: h* 
अंकुश+लगा_3	goad_7	verb	_goad/NN_u_unknown	LBL: h* ARG0: x* 
अंकुश+को_1	goad_8	verb	udef_q	LBL: h* ARG0: x* RSTR: h* BODY: h* 
अंकुश+को_1	goad_8	verb	_goad/NN_u_unknown	LBL: h* ARG0: x* 
अंकुश+को_2	spur_4	verb	_spur_v_1	LBL: h* ARG0: e* ARG1: x* ARG2: p* 
Oops!<class 'IndexError'>occurred.curb_1,SOME PROBLEM IN FATCHING MRS VALUES #############

अँकुसी_1	hook_2	noun	_hook_n_1	LBL: h* ARG0: x* 
अँकुसी_2	firerake_1	noun	_firerake/NN_u_unknown	LBL: h* ARG0: x* 
अँकुसी_3	poker_1	noun	_poker_n_1	LBL: h* ARG0: x* 
अँकोर_1	gift_1	noun	_gift_n_of-to	LBL: h* ARG0: x* ARG1: i* ARG2: i* 
अँकोर_2	bribe_1	noun	_bribe_n_1	LBL: h* ARG0: x* 
अँकोर_3	embrace_12	verb	_embrace_v_1	LBL: h* ARG0: e* ARG1: x* ARG2: p* 
अँकोर_4	dry_2	verb	_dry_v_1	LBL: h* ARG0: e* ARG1: x* 
अँकोर_5	heat_1	verb	_heat_v_1	LBL: h* ARG0: e* ARG1: x* 
अँकोर_6	warm_1	verb	_warm_v_1	LBL: h* ARG0: e* ARG1: x* 
अँखुआ_1	sprout_3	noun	_sprout_n_1	LBL: h* ARG0: x* 
अँखुआ_2	shoot_3	noun	_shoot_n_1	LBL: h* ARG0: x* 
अंग_1	limb_1	noun	_limb_n_1	LBL: h* ARG0: x* 
अंग_2	member_1	noun	_member_n_of	LBL: h* ARG0: x* 
अंग_3	organ_1	noun	_organ_n_1	LBL: h* ARG0: x* 
अंग_4	body_2	noun	_body_n_1	LBL: h* ARG0: x* 
अंग_5	part_1	noun	_part_n_1	LBL: h* ARG0: x* 
अंग_6	constituent_1	noun	_constituent_n_1	LBL: h* ARG0: x* 
अंग_7	branch_1	noun	_branch_n_of	LBL: h* ARG0: x* ARG1: i* 
अंग_8	genre_1	noun	_genre/NN_u_unknown	LBL: h* ARG0: x* 
अंग_9	section_1	noun	_section_n_of	LBL: h* ARG0: x* ARG1: i* 
अंग_10	member_2	noun	_member_n_of	LBL: h* ARG0: x* 
अंग_11	group_1	noun	_group_n_of	LBL: h* ARG0: x* 
अंग_12	side_1	noun	_side_n_1	LBL: h* ARG0: x* 
अंग_13	aspect_1	noun	_aspect_n_1	LBL: h* ARG0: x* 
अंग+कर_1	accept_1	verb	_accept_v_1	LBL: h* ARG0: e* ARG1: x* ARG2: p* 
अंग+कर_2	incorporate_1	verb	_incorporate_v_1	LBL: h* ARG0: e* ARG1: x* ARG2: p* 
अंग+गोद_1	tattoo_1	verb	udef_q	LBL: h* ARG0: x* RSTR: h* BODY: h* 
अंग+गोद_1	tattoo_1	verb	_tattoo/NN_u_unknown	LBL: h* ARG0: x* 
अंग+का_1	tattoo_2	verb	udef_q	LBL: h* ARG0: x* RSTR: h* BODY: h* 
अंग+का_1	tattoo_2	verb	_tattoo/NN_u_unknown	LBL: h* ARG0: x* 
अंग+मोड़_1	turn_1	verb	_turn_v_1	LBL: h* ARG0: e* ARG1: x* 
अंग+मोड़_2	yawn_1	verb	_yawn_v_1	LBL: h* ARG0: e* ARG1: x* 
अंग+मोड़_3	turn_2	verb	_turn_v_1	LBL: h* ARG0: e* ARG1: x* 
अंग+लगा_1	embrace_13	verb	_embrace_v_1	LBL: h* ARG0: e* ARG1: x* ARG2: p* 
अंग+लगा_2	join_1	verb	_join_v_1	LBL: h* ARG0: e* ARG1: x* ARG2: p* 
अंग-घाट_1	paralysis_1	noun	_paralysis/NN_u_unknown	LBL: h* ARG0: x* 
अंग-घाट_2	stroke_1	noun	_stroke_n_1	LBL: h* ARG0: x* 
Oops!<class 'IndexError'>occurred.adj_1,SOME PROBLEM IN FATCHING MRS VALUES #############

अंगज˚आ_1	daughter_1	noun	_daughter_n_1	LBL: h* ARG0: x* 
अंगजात_1	m_1	noun	_meter_n_1	LBL: h* ARG0: x* 
अंगजात_2	son_1	noun	_son_n_of	LBL: h* ARG0: x* ARG1: i* 
अंगजात˚आ_1	daughter_2	noun	_daughter_n_1	LBL: h* ARG0: x* 
अंग-भंग_1	mutilated_1	adj	_mutilated/VBN_u_unknown	LBL: h* ARG0: e* ARG1: u* ARG2: x* 
अंग-भंग_1	mutilated_1	adj	parg_d	LBL: h* ARG0: e* ARG1: e* ARG2: x* 
अंग-भंग_2	crippled_1	adj	_cripple_v_1	LBL: h* ARG0: e* ARG1: i* ARG2: x* 
अंग-भंग_2	crippled_1	adj	parg_d	LBL: h* ARG0: e* ARG1: e* ARG2: x* 
अंगभूत_1	incorporated_1	adj	_incorporate_v_1	LBL: h* ARG0: e* ARG1: i* ARG2: x* 
अंगभूत_1	incorporated_1	adj	parg_d	LBL: h* ARG0: e* ARG1: e* ARG2: x* 
अंगभूत_2	assimilated_1	adj	_assimilate_v_1	LBL: h* ARG0: e* ARG1: i* ARG2: x* 
अंगभूत_2	assimilated_1	adj	parg_d	LBL: h* ARG0: e* ARG1: e* ARG2: x* 
अंग-मर्दन_1	massage_1	noun	_massage_n_of	LBL: h* ARG0: x* ARG1: i* 
अंग-मोड़ी_1	f_1	noun	named	,CARG:_VALUES
अंग-रक्षक_1	protector_1	noun	_protector/NN_u_unknown	LBL: h* ARG0: x* 
अंग-रक्षक_2	bodyguard_1	noun	_bodyguard_n_1	LBL: h* ARG0: x* 
अंगहीन_1	bodiless_1	adj	_bodiless/JJ_u_unknown	LBL: h* ARG0: e* ARG1: x* 
अंगहीन_2	limbless_1	adj	_limbless/JJ_u_unknown	LBL: h* ARG0: e* ARG1: x* 
अंगहीन_3	mutilated_2	adj	_mutilated/VBN_u_unknown	LBL: h* ARG0: e* ARG1: u* ARG2: x* 
अंगहीन_3	mutilated_2	adj	parg_d	LBL: h* ARG0: e* ARG1: e* ARG2: x* 
अंगीकरण_1	assent_1	noun	_assent_n_1	LBL: h* ARG0: x* 
अंगीकरण_2	agreement_1	noun	_agreement_n_1	LBL: h* ARG0: x* 
अंगीकरण_3	acceptance_1	noun	_acceptance_n_1	LBL: h* ARG0: x* 
अंगीकरण_4	acknowledgment_1	noun	_acknowledgment/NN_u_unknown	LBL: h* ARG0: x* 
अंगीकार_1	assent_2	noun	_assent_n_1	LBL: h* ARG0: x* 
अंगीकार_2	assent_3	verb	_assent_v_1	LBL: h* ARG0: e* ARG1: x* 
अंगीकार_3	accept_2	verb	_accept_v_1	LBL: h* ARG0: e* ARG1: x* ARG2: p* 
अंगीकार_4	admit_1	verb	_admit_v_to	LBL: h* ARG0: e* ARG1: x* ARG2: p* 
Oops!<class 'IndexError'>occurred.undertake_1,SOME PROBLEM IN FATCHING MRS VALUES #############

अंगीकार_6	promise_1	verb	_promise_v_1	LBL: h* ARG0: e* ARG1: x* ARG2: p* 
कर_1	assent_4	verb	_assent_v_1	LBL: h* ARG0: e* ARG1: x* 
कर_2	accept_3	verb	_accept_v_1	LBL: h* ARG0: e* ARG1: x* ARG2: p* 
कर_3	admit_2	verb	_admit_v_to	LBL: h* ARG0: e* ARG1: x* ARG2: p* 
Oops!<class 'IndexError'>occurred.undertake_2,SOME PROBLEM IN FATCHING MRS VALUES #############

कर_5	promise_2	verb	_promise_v_1	LBL: h* ARG0: e* ARG1: x* ARG2: p* 
अंगीकृत_1	accepted_1	adj	_accept_v_1	LBL: h* ARG0: e* ARG1: i* ARG2: x* 
अंगीकृत_1	accepted_1	adj	parg_d	LBL: h* ARG0: e* ARG1: e* ARG2: x* 
अंगड़-खंगड़_1	junk_1	adj	udef_q	LBL: h* ARG0: x* RSTR: h* BODY: h* 
अंगड़-खंगड़_1	junk_1	adj	_junk_n_1	LBL: h* ARG0: x* 
अंगड़-खंगड़_2	rubbish_1	adj	udef_q	LBL: h* ARG0: x* RSTR: h* BODY: h* 
अंगड़-खंगड़_2	rubbish_1	adj	_rubbish_n_1	LBL: h* ARG0: x* 
अंगड़-खंगड़_3	rundown_1	adj	_rundown/JJ_u_unknown	LBL: h* ARG0: e* ARG1: x* 
अंगड़-खंगड़_4	dilapidated_1	adj	_dilapidated/JJ_u_unknown	LBL: h* ARG0: e* ARG1: x* 
Oops!<class 'IndexError'>occurred.town_1,SOME PROBLEM IN FATCHING MRS VALUES #############

अँगड़ाई+ले_1	twist_1	verb	_twist_v_1	LBL: h* ARG0: e* ARG1: x* ARG2: p* 
अँगड़ाई+ले_2	stretch_1	verb	_stretch_v_1	LBL: h* ARG0: e* ARG1: x* ARG2: p* 
अँगड़ा_1	twist_2	verb	_twist_v_1	LBL: h* ARG0: e* ARG1: x* ARG2: p* 
अँगड़ा_2	stretch_2	verb	_stretch_v_1	LBL: h* ARG0: e* ARG1: x* ARG2: p* 
अँगड़ाना_1	limbs_1	noun	_limb_n_1	LBL: h* ARG0: x* 
अँगनई_1	reg_1	noun	_reg/NN_u_unknown	LBL: h* ARG0: x* 
अंगना_1	woman_1	noun	_woman_n_1	LBL: h* ARG0: x* 
अँगरी_1	armour_1	noun	_armor_n_1	LBL: h* ARG0: x* 
अंगलेट_1	physique_1	noun	_physique/NN_u_unknown	LBL: h* ARG0: x* 
अंगा_1	nurse_1	noun	_nurse_n_1	LBL: h* ARG0: x* 
अंगा_2	nursema_1	noun	_nursema/NN_u_unknown	LBL: h* ARG0: x* 
अंगारा_1	spark_1	noun	_spark_n_1	LBL: h* ARG0: x* 
अंगारा_2	cinder_1	noun	_cinder_n_1	LBL: h* ARG0: x* 
अंगारा_3	raging_1	noun	_rage_v_1	LBL: h* ARG0: e* ARG1: i* 
अंगारा_3	raging_1	noun	nominalization	LBL: h* ARG0: x* ARG1: h* 
अंगारे+का+कीड़ा_1	salamander_1	noun	_salamander/NN_u_unknown	LBL: h* ARG0: x* 
अंगारी_1	brazier_1	noun	_brazier/NN_u_unknown	LBL: h* ARG0: x* 
अंगारी_2	scintilla_1	noun	_scintilla/NN_u_unknown	LBL: h* ARG0: x* 
अँगिया_1	bodice_1	noun	_bodice/NN_u_unknown	LBL: h* ARG0: x* 
अँगिया_2	brassiere_1	noun	_brassiere/NN_u_unknown	LBL: h* ARG0: x* 
अंगी_1	leading_1	adj	_lead_v_1	LBL: h* ARG0: e* ARG1: x* ARG2: p* 
अंगी_2	prominent_1	adj	_prominent_a_1	LBL: h* ARG0: e* ARG1: x* 
अंगी_3	m_2	adj	proper_q	LBL: h* ARG0: x* RSTR: h* BODY: h* 
अंगी_3	m_2	adj	named	,CARG:_VALUES
अँगीठा_1	firestand_1	noun	_firestand/NN_u_unknown	LBL: h* ARG0: x* 
अँगीठी_1	brazier_2	noun	_brazier/NN_u_unknown	LBL: h* ARG0: x* 
अँगीठी_2	grate_1	noun	_grate_n_1	LBL: h* ARG0: x* 
अँगीठी_3	stove_1	noun	_stove_n_1	LBL: h* ARG0: x* 
अंगुल_1	thumb_1	noun	_thumb_n_1	LBL: h* ARG0: x* 
अंगुलि-छाप_1	fingerprint_1	noun	_fingerprint_n_1	LBL: h* ARG0: x* 
प्रतिमुद्रा_1	fingerprint_2	noun	_fingerprint_n_1	LBL: h* ARG0: x* 
Oops!<class 'IndexError'>occurred.notorious_1,SOME PROBLEM IN FATCHING MRS VALUES #############

अंगुश्त_2	vilified_1	noun	_vilified/NN_u_unknown	LBL: h* ARG0: x* 
Oops!<class 'IndexError'>occurred.notorious_2,SOME PROBLEM IN FATCHING MRS VALUES #############

अंगुश्तनुमा_2	vilified_2	noun	_vilified/NN_u_unknown	LBL: h* ARG0: x* 
अंगुश्ताना_1	thimble_1	noun	_thimble/NN_u_unknown	LBL: h* ARG0: x* 
अंगुश्ताना_2	ring_1	noun	_ring_n_1	LBL: h* ARG0: x* 
अंगुष्ठ_1	thumb_2	noun	_thumb_n_1	LBL: h* ARG0: x* 
अँगूठा_1	thumb_3	noun	_thumb_n_1	LBL: h* ARG0: x* 
अँगूठा+चूम_1	grovel_1	verb	_grovel/VB_u_unknown	LBL: h* ARG0: e* ARG1: x* ARG2: p* 
अँगूठा+चूम_2	toady_1	verb	udef_q	LBL: h* ARG0: x* RSTR: h* BODY: h* 
अँगूठा+चूम_2	toady_1	verb	_toady/NN_u_unknown	LBL: h* ARG0: x* 
अँगूठी_1	ring_2	noun	_ring_n_1	LBL: h* ARG0: x* 
Oops!<class 'IndexError'>occurred.surround_1,SOME PROBLEM IN FATCHING MRS VALUES #############

अंगूर_1	grape_1	noun	_grape_n_1	LBL: h* ARG0: x* 
अँगूर_1	sprout_4	noun	_sprout_n_1	LBL: h* ARG0: x* 
अँगूर_2	shoot_4	noun	_shoot_n_1	LBL: h* ARG0: x* 
अँगूरी+बाग_1	vineyard_1	noun	_vineyard_n_1	LBL: h* ARG0: x* 
अँगोछा_1	cloth_1	noun	_cloth_n_1	LBL: h* ARG0: x* 
अँगोछा_2	towel_1	noun	_towel_n_1	LBL: h* ARG0: x* 
अँगोछी_1	towel_2	noun	_towel_n_1	LBL: h* ARG0: x* 
अँगोट_1	EH_1	noun	named	,CARG:_VALUES
अँगोरा_1	mosquito_1	noun	_mosquito_n_1	LBL: h* ARG0: x* 
अँग्रेज़_1	Englishman_1	noun	_englishman_n_1	LBL: h* ARG0: x* 
अँग्रेज़िन_1	Englishwoman_1	noun	named	,CARG:_VALUES
अँग्रेज़ियत_1	Anglicism_1	noun	named	,CARG:_VALUES
अँग्रेज़ी_1	English_1	adj	proper_q	LBL: h* ARG0: x* RSTR: h* BODY: h* 
अँग्रेज़ी_1	English_1	adj	named	,CARG:_VALUES
अँग्रेज़ी_2	British_1	noun	_british_n_1	LBL: h* ARG0: x* 
Oops!<class 'IndexError'>occurred.western_1,SOME PROBLEM IN FATCHING MRS VALUES #############

अँग्रेज़ीपसंद_1	anglophile_1	noun	_anglophile/NN_u_unknown	LBL: h* ARG0: x* 
अंचल_1	transedge_1	noun	_transedge/NN_u_unknown	LBL: h* ARG0: x* 
अंचल_2	region_1	noun	_region_n_of	LBL: h* ARG0: x* ARG1: i* 
अंचल_3	tract_1	noun	_tract_n_of	LBL: h* ARG0: x* ARG1: i* 
अंचल_4	zone_1	noun	_zone_n_of	LBL: h* ARG0: x* ARG1: i* 
अंछर_1	spell_1	noun	_spell_n_1	LBL: h* ARG0: x* 
अंछर_2	charm_1	noun	_charm_n_1	LBL: h* ARG0: x* 
