	hn_wx	hn_utf	conc_eng	conc_hn	hn_ex
47	AhAravihAra_1	आहारविहार_1	routine_6	खाना, पीना, सोना आदि शारीरिक व्यवस्था	"""इस उपवन में आहार-विहार करना मना है ।"""
48	AharwA_1	आहर्ता_1	exactor_1	हरण करने या छीनने या चुराने वाला	"""हर्ता गिरोह को पुलिस ने पकड़ लिया है ।"""
49	AharwA_1	आहर्ता_1	exactor_1	अनुष्ठान करने वाला	"""आहर्ता पंडित बहुत नियम संयम से रहता है ।"""
50	AharwA_2	आहर्ता_2	usurper_1	हरण करने या छीनने या चुराने वाला	"""हर्ता गिरोह को पुलिस ने पकड़ लिया है ।"""
51	AharwA_2	आहर्ता_2	usurper_1	अनुष्ठान करने वाला	"""आहर्ता पंडित बहुत नियम संयम से रहता है ।"""
52	AhUwa_1	आहूत_1	invited_2	जिसे निमंत्रण दिया गया हो	"""दीदी की शादी में भैया ने अपने सभी निमंत्रित सहकर्मियों का अभिवादन किया ।"""
53	AhUwa_2	आहूत_2	summoned_1	जिसे निमंत्रण दिया गया हो	"""दीदी की शादी में भैया ने अपने सभी निमंत्रित सहकर्मियों का अभिवादन किया ।"""
54	ajagarI_1	अजगरी_1	phythonic_1	अजगर जैसा या बिना परिश्रम का	"""उसकी अजगरी वृत्ति से सभी परेशान हैं ।"""
55	ajagarI_1	अजगरी_1	phythonic_1	अजगर के समान निरुद्यम वृत्ति	"""मोहना की अजगरी के कारण परिजन भूखे सोते हैं ।"""
56	AjFApAlana_1	आज्ञापालन_1	obedience_3	आज्ञा के अनुसार कार्य करने की क्रिया	"""गुरु के आज्ञापालन से ज्ञान प्राप्ति में सहायता मिलती है ।"""
57	AjIvana_2	आजीवन_2	throughout_1	जीवन के आरम्भ से लेकर अंतिम समय तक	"""गाँधीजी जीवनपर्यन्त समाज सेवा करते रहे ।"""
58	akaMpa_1	अकंप_1	unwavering_1	जो काँपता या हिलता न हो	"""वह अकंपित स्तंभ पर नज़र टिकाए बैठा था ।"""
59	akaMpa_2	अकंप_2	firm_1	जो काँपता या हिलता न हो	"""वह अकंपित स्तंभ पर नज़र टिकाए बैठा था ।"""
60	akaraNIya_1	अकरणीय_1	improper_1	जिसे नहीं करना चाहिए या जो करने योग्य न हो	"""कुछ लोगों को अकृत्य कर्म करने में ही मज़ा आता है ।"""
61	AkarNaka_1	आकर्णक_1	headphone_1	टीवी, रेडियो, फ़ोन आदि की ध्वनि को सुनने के लिए कान में या उसके ऊपर लगाने का एक इलेक्ट्रॉनिक यंत्र	"""हमारे ऑफिस में अक्सर लोग ईरफ़ोन लगाकर काम करते हैं ।"""
62	akROhiNI_1	अक्षौहिणी_1	21_1	धार्मिक ग्रंथों में वर्णित सेना का एक मान जिसमें १०९३५० पैदल, ६५६१० घुड़सवार, २१८७० रथ और २१८७० हाथियों की एक निश्चित मात्रा होती थी	"""महाभारत काल में अक्षौहिणी से सेना की क्षमता का आकलन होता था ।"""
63	akROhiNI_1	अक्षौहिणी_1	21_1	प्राचीन काल की चतुरंगिणी सेना जिसमें १०९३५० पैदल, ६५६१० घुड़सवार, २१८७० रथ और २१८७० हाथी होते थे	"""कृष्ण ने अपनी अक्षौहिणी दुर्योधन को दी थी ।"""
64	akROhiNI_2	अक्षौहिणी_2	65_1	धार्मिक ग्रंथों में वर्णित सेना का एक मान जिसमें १०९३५० पैदल, ६५६१० घुड़सवार, २१८७० रथ और २१८७० हाथियों की एक निश्चित मात्रा होती थी	"""महाभारत काल में अक्षौहिणी से सेना की क्षमता का आकलन होता था ।"""
65	akROhiNI_2	अक्षौहिणी_2	65_1	प्राचीन काल की चतुरंगिणी सेना जिसमें १०९३५० पैदल, ६५६१० घुड़सवार, २१८७० रथ और २१८७० हाथी होते थे	"""कृष्ण ने अपनी अक्षौहिणी दुर्योधन को दी थी ।"""
66	alaMGanIya_1	अलंघनीय_1	insurmountable_1	जिसे लाँघा न जा सके या जिसे लाँघना उचित न हो	"""अलंघनीय सागर को लाँघने की कोशिश मूर्खता ही होगी ।"""
67	alaMGanIya_2	अलंघनीय_2	insuperable_1	जिसे लाँघा न जा सके या जिसे लाँघना उचित न हो	"""अलंघनीय सागर को लाँघने की कोशिश मूर्खता ही होगी ।"""
68	alaMGanIya_3	अलंघनीय_3	inviolable_1	जिसे लाँघा न जा सके या जिसे लाँघना उचित न हो	"""अलंघनीय सागर को लाँघने की कोशिश मूर्खता ही होगी ।"""
69	alaMGanIya_4	अलंघनीय_4	peremptory_1	जिसे लाँघा न जा सके या जिसे लाँघना उचित न हो	"""अलंघनीय सागर को लाँघने की कोशिश मूर्खता ही होगी ।"""
70	AlaMkArika_1	आलंकारिक_1	rhetorical_1	अलंकार संबंधी	"""कवि की आलंकारिक भाषा रचना को और अधिक रोचक बना देती है ।"""
71	AlaMkArika_1	आलंकारिक_1	rhetorical_1	अलंकार जानने वाला	"""आलंकारिक कवि रीतिकाल में सबसे अधिक पनपे ।"""
72	AlaMkArika_2	आलंकारिक_2	ornamental_1	अलंकार संबंधी	"""कवि की आलंकारिक भाषा रचना को और अधिक रोचक बना देती है ।"""
73	AlaMkArika_2	आलंकारिक_2	ornamental_1	अलंकार जानने वाला	"""आलंकारिक कवि रीतिकाल में सबसे अधिक पनपे ।"""
74	AlaMkArika_3	आलंकारिक_3	figurative_1	अलंकार संबंधी	"""कवि की आलंकारिक भाषा रचना को और अधिक रोचक बना देती है ।"""
75	AlaMkArika_3	आलंकारिक_3	figurative_1	अलंकार जानने वाला	"""आलंकारिक कवि रीतिकाल में सबसे अधिक पनपे ।"""
76	alApa_1	अलाप_1	utter_4	संगीत में स्वरों का विस्तारपूर्वक साधन	"""संगीतकारों के आलाप के ढंग अलग-अलग होते हैं ।"""
77	Alapina_1	आलपिन_1	pin_1	एक घुंडीदार सुई जिससे कागज़ आदि के टुकड़े जोड़ते या नत्थी करते हैं	"""मैंने एक डिब्बा आलपिनें खरीदीं ।"""
78	AlapIna_1	आलपीन_1	pin_6	एक घुंडीदार सुई जिससे कागज़ आदि के टुकड़े जोड़ते या नत्थी करते हैं	"""मैंने एक डिब्बा आलपिनें खरीदीं ।"""
79	AlaWI-pAlaWI_1	आलथी-पालथी_1	squatting_2	बैठने का एक ढंग जिसमें दाहिने पैर का पंजा बाँये तथा बाँये पैर का पंजा दाहिने पट्ठे के नीचे दबाकर बैठते हैं	"""वह पलथी मार कर बैठा हुआ है ।"""
80	AlaWI-pAlaWI_1	आलथी-पालथी_1	squatting_2	बैठने का एक ढंग जिसमें दाहिने पैर का पंजा बाँये तथा बाँये पैर का पंजा दाहिने पट्ठे के नीचे दबाकर बैठते हैं	"""वह पलथी मार कर बैठा हुआ है ।"""
81	Alociwa_1	आलोचित_1	criticised_1	आलोचना किया हुआ	"""इस आलोचित लेख की कई विद्वानों ने प्रशंसा की ।"""
82	Alociwa_2	आलोचित_2	reviewed_1	आलोचना किया हुआ	"""इस आलोचित लेख की कई विद्वानों ने प्रशंसा की ।"""
83	alpajIvI_1	अल्पजीवी_1	short-lived_2	जिसकी आयु कम हो	"""कुत्ता मनुष्य की अपेक्षा एक अल्पायु जीव है ।"""
84	alpajIvI_2	अल्पजीवी_2	fugacious_2	जिसकी आयु कम हो	"""कुत्ता मनुष्य की अपेक्षा एक अल्पायु जीव है ।"""
85	alpaprANa_1	अल्पप्राण_1	unaspirated_1	ऐसे व्यंजन जिसके उच्चारण में अपेक्षतया कम वायु निकलती है	"""व्याकरण में व्यंजन वर्ण के प्रत्येक वर्ग का पहला, तीसरा तथा पाँचवाँ अक्षर और य,र,ल,व अल्पप्राण माने जाते हैं ।"""
86	alpaprANa_2	अल्पप्राण_2	vigourless_2	ऐसे व्यंजन जिसके उच्चारण में अपेक्षतया कम वायु निकलती है	"""व्याकरण में व्यंजन वर्ण के प्रत्येक वर्ग का पहला, तीसरा तथा पाँचवाँ अक्षर और य,र,ल,व अल्पप्राण माने जाते हैं ।"""
87	alpAyu_1	अल्पायु_1	shortlived_1	जिसकी आयु कम हो	"""कुत्ता मनुष्य की अपेक्षा एक अल्पायु जीव है ।"""
88	amAnawaxAra_1	अमानतदार_1	trustee_3	अमानत या धरोहर रखने वाला व्यक्ति	"""अमानतदार मेरी अमानत लेकर गायब हो गया ।"""
89	amarxiwa_1	अमर्दित_1	unvanquished_2	जिसका मर्दन न हुआ हो	"""अमर्दित पहलवान तुरंत उठकर खड़ा हो गया ।"""
90	amarxiwa_2	अमर्दित_2	unassailed_1	जिसका मर्दन न हुआ हो	"""अमर्दित पहलवान तुरंत उठकर खड़ा हो गया ।"""
91	amarxiwa_3	अमर्दित_3	undaunted_1	जिसका मर्दन न हुआ हो	"""अमर्दित पहलवान तुरंत उठकर खड़ा हो गया ।"""
92	aMgaraKA_1	अंगरखा_1	vest_1	कोट जैसा घुटने तक का एक पहनावा	"""पुराने समय में लोग अँगरखा पहनते थे ।"""
93	aMgUrI_1	अंगूरी_1	vinous_1	अंगूर का बना हुआ	"""वह अंगूरी शराब पी रहा है ।"""
94	aMgUrI_1	अंगूरी_1	vinous_1	अंगूर के रंग का या अंगूर के समान	"""प्रकाश की चकाचौंध में नृत्यांगना का बदन अंगूरी लग रहा था ।"""
95	amqwabAna_1	अमृतबान_1	jar_1	अचार, घी, आदि रखने का चीनी मिट्टी या सादी मिट्टी आदि का एक चौड़े मुँह एवं हत्थे या बिना हत्थे का ढक्कनदार रोगनी बर्तन	"""मर्तबान का उपयोग अचार, मुरब्बा आदि रखने के लिए किया जाता है ।"""
96	aMwaHprajFA_1	अंतःप्रज्ञा_1	intuition_1	जीवात्मा और परमात्मा के विषय में होने वाला ज्ञान	"""ध्रुव को अल्पायु में ही आत्मज्ञान हो गया था ।"""
97	aMwaHsWa_1	अंतःस्थ_1	intermediate_1	मध्य में स्थित	"""य, र, ल, व अंतःस्थ ध्वनियाँ कहलाती हैं ।"""
98	aMwarBUwa_1	अंतर्भूत_1	included_4	किसी के अंदर छिपा,समाया, मिला या गया हुआ	"""शैवाल,फफूंद भी वनस्पत्ति जगत के अंतर्गत आते हैं। / वह भी इस काम में शामिल है ।"""
99	aMwarBUwa_2	अंतर्भूत_2	involved_1	किसी के अंदर छिपा,समाया, मिला या गया हुआ	"""शैवाल,फफूंद भी वनस्पत्ति जगत के अंतर्गत आते हैं। / वह भी इस काम में शामिल है ।"""
100	aMwarBUwa_3	अंतर्भूत_3	permeated_1	किसी के अंदर छिपा,समाया, मिला या गया हुआ	"""शैवाल,फफूंद भी वनस्पत्ति जगत के अंतर्गत आते हैं। / वह भी इस काम में शामिल है ।"""
101	aMwargawa_1	अंतर्गत_1	included_1	किसी के अंदर छिपा,समाया, मिला या गया हुआ	"""शैवाल,फफूंद भी वनस्पत्ति जगत के अंतर्गत आते हैं। / वह भी इस काम में शामिल है ।"""
102	aMwarvivAha_1	अंतर्विवाह_1	intermarriage_1	अपनी ही जाति के लड़के या लड़की के साथ होने वाला विवाह	"""भारत में अंतर्विवाह प्रथा अधिक प्रचलित है ।"""
103	aMwarXAna_1	अंतर्धान_1	disappearance_1	ग़ायब होने की क्रिया विशेषकर किसी देव आदि का	"""भगवान भक्त को वरदान देकर अंतर्ध्यान हो गए ।"""
104	aMwarxarSI_1	अंतर्दर्शी_1	introspective_1	जो स्वयं का निरीक्षण करता हो	"""आत्मनिरीक्षक व्यक्ति आत्मनिरीक्षण द्वारा बराबर अपनी कमियों को दूर करता है ।"""
105	AMxoliwa_1	आंदोलित_1	moved_1	हिलने-डुलने वाला	"""चंद्रमा का जल पर पर पड़ने वाला प्रतिबिम्ब जल के हिलने से हिलता प्रतीत होता है ।"""
106	AMxoliwa_2	आंदोलित_2	agitated_2	हिलने-डुलने वाला	"""चंद्रमा का जल पर पर पड़ने वाला प्रतिबिम्ब जल के हिलने से हिलता प्रतीत होता है ।"""
107	anagaDZapana_1	अनगढ़पन_1	crudity_1	बेढंग या अनगढ़ होने की अवस्था या भाव	"""उसका बेढंगापन मुझको बिल्कुल बर्दाश्त नहीं होता है ।"""
108	anagaDZapana_2	अनगढ़पन_2	naturalness_1	बेढंग या अनगढ़ होने की अवस्था या भाव	"""उसका बेढंगापन मुझको बिल्कुल बर्दाश्त नहीं होता है ।"""
109	AnA-jAnA_1	आना-जाना_1	traffic_5	आने जाने की क्रिया	"""रिक्शा, टैक्सी आदि की हड़ताल से आने-जाने में बहुत असुविधा होती है ।"""
110	anAkrAMwa_1	अनाक्रांत_1	unassaulted_1	जिस पर आक्रमण या हमला न किया गया हो	"""अनाक्रांत राष्ट्र उन्नति के चरम शिखर पर हैं ।"""
111	anAkrAMwa_2	अनाक्रांत_2	unattacked_1	जिस पर आक्रमण या हमला न किया गया हो	"""अनाक्रांत राष्ट्र उन्नति के चरम शिखर पर हैं ।"""
112	anAkrAnwa_1	अनाक्रान्त_1	unmolested_1	जिस पर आक्रमण या हमला न किया गया हो	"""अनाक्रांत राष्ट्र उन्नति के चरम शिखर पर हैं ।"""
113	anaMwawA_1	अनंतता_1	immensity_1	अधिक होने की अवस्था या भाव	"""धन की अधिकता से वह घमंडी हो गया है ।"""
114	anaMwawA_1	अनंतता_1	immensity_1	अनगिनत होने की अवस्था या भाव	"""आकाश के तारों की असंख्यता का केवल अनुमान लगाया जा सकता है ।"""
115	anaMwima_1	अनंतिम_1	provisional_2	जो सबसे बाद का न हो	"""यह तो आपका अनंतिम वाक्य नहीं है ।"""
116	anavalaMba_1	अनवलंब_1	unsupported_1	जो बिना अवलंब या सहारे का हो	"""अमरबेल अनवलंब जीवित नहीं रह सकती ।"""
117	anavalaMba_2	अनवलंब_2	lonely_2	जो बिना अवलंब या सहारे का हो	"""अमरबेल अनवलंब जीवित नहीं रह सकती ।"""
118	anavalaMba_3	अनवलंब_3	hence_3	जो बिना अवलंब या सहारे का हो	"""अमरबेल अनवलंब जीवित नहीं रह सकती ।"""
119	anekaviXa_1	अनेकविध_1	multifarious_2	कई प्रकार का	"""जीवन में अनेकविध लोगों से परिचय होता है ।"""
120	anEwihAsika_1	अनैतिहासिक_1	unhistorical_1	जो इतिहास के अनुरूप न हो या इतिहास के विरुद्ध हो	"""यह एक अनैतिहासिक रचना है ।"""
121	anEwihAsika_2	अनैतिहासिक_2	legendary_1	जो इतिहास के अनुरूप न हो या इतिहास के विरुद्ध हो	"""यह एक अनैतिहासिक रचना है ।"""
122	aNimA_1	अणिमा_1	atomism_1	आठ सिद्धियों में से प्रथम	"""अणिमा की सिद्धि प्राप्त करनेवाले योगी अणु के समान सूक्ष्म शरीर धारण कर लेते हैं ।"""
123	aNimA_1	अणिमा_1	atomism_1	अति सूक्ष्म परिमाण	"""कुछ तांत्रिक अपने को अणिमा रूप में बदलने की क्षमता रखते हैं ।"""
124	aniMxiwa_1	अनिंदित_1	uncensured_2	जिसकी निंदा न की गई हो	"""भगवान को भी लोग अनिदिंत नहीं छोड़े तो इंसानों का क्या ! ।"""
125	aniMxiwa_2	अनिंदित_2	unreproached_1	जिसकी निंदा न की गई हो	"""भगवान को भी लोग अनिदिंत नहीं छोड़े तो इंसानों का क्या ! ।"""
126	aniyama_1	अनियम_1	lawlessness_1	नियम के टूटने या भंग होने की क्रिया	"""सेना में व्यतिक्रम नहीं आने दिया जाता ।"""
127	aniyama_2	अनियम_2	disorder_1	नियम के टूटने या भंग होने की क्रिया	"""सेना में व्यतिक्रम नहीं आने दिया जाता ।"""
128	aniyamiwawA_1	अनियमितता_1	irregularity_3	अनियमित होने की अवस्था	"""अनियमितता का विरोध न करने पर वह बढ़ती ही जाती है ।"""
129	anna-jala_1	अन्न-जल_1	subsistence_1	भोजन एवं जल	"""अन्न-जल जीवन की मौलिक आवश्यकता है ।"""
130	annaxAwA_1	अन्नदाता_1	master_3	वह जो अन्न दे	"""ईश्वर सबके अन्नदाता हैं ।"""
131	annaxAwA_1	अन्नदाता_1	master_3	वह जो अन्न दान करता हो	"""अन्नदाता के द्वार पर भिखारियों की पंक्ति लगी है ।"""
132	annaxAwA_2	अन्नदाता_2	patron_1	वह जो अन्न दे	"""ईश्वर सबके अन्नदाता हैं ।"""
133	annaxAwA_2	अन्नदाता_2	patron_1	वह जो अन्न दान करता हो	"""अन्नदाता के द्वार पर भिखारियों की पंक्ति लगी है ।"""
134	annaxAwA_3	अन्नदाता_3	benefactor_1	वह जो अन्न दे	"""ईश्वर सबके अन्नदाता हैं ।"""
135	annaxAwA_3	अन्नदाता_3	benefactor_1	वह जो अन्न दान करता हो	"""अन्नदाता के द्वार पर भिखारियों की पंक्ति लगी है ।"""
136	anuBavavAxa_1	अनुभववाद_1	empiricism_2	एक दार्शनिक सिद्धांत जिसमें यह माना जाता है कि अनुभव ही ज्ञान का केवल एक साधन है	"""ह्यूम अनुभववाद का समर्थक था ।"""
137	anuboXana_1	अनुबोधन_1	prompting_1	किसी को कोई बात या विषय स्मरण कराने की क्रिया या भाव	"""उसने चपरासी को मैनेजर के पास अनुबोधन कराने भेजा ।"""
138	anuciMwana_1	अनुचिंतन_1	sympathy_1	भूली हुई बात को ध्यान में लाने या उसका चिन्तन करने की क्रिया	"""पढ़ते-पढ़ते वह अनुचिंतन में लग जाता है ।"""
139	anuguNa_1	अनुगुण_1	significant_1	समान गुण वाला	"""अनुगुण व्यक्तियों की आपस में खूब पटती है ।"""
140	anuguNa_1	अनुगुण_1	significant_1	एक अर्थालंकार	"""अनुगुण में किसी पदार्थ के पहले गुण को अन्य पदार्थ के संसर्ग से बढ़ा हुआ दर्शाया जाता है ।"""
141	anuguNa_3	अनुगुण_3	befitting_2	समान गुण वाला	"""अनुगुण व्यक्तियों की आपस में खूब पटती है ।"""
142	anuguNa_3	अनुगुण_3	befitting_2	एक अर्थालंकार	"""अनुगुण में किसी पदार्थ के पहले गुण को अन्य पदार्थ के संसर्ग से बढ़ा हुआ दर्शाया जाता है ।"""
143	AnumAnika_1	आनुमानिक_1	conjectural_1	अनुमान से संबंधित या उसके आधार पर माना या समझा जानेवाला	"""इस वर्ष धान की फसल का आनुमानिक उत्पादन सौ क्विंटल मान रहे हैं ।"""
144	AnumAnika_2	आनुमानिक_2	estimative_1	अनुमान से संबंधित या उसके आधार पर माना या समझा जानेवाला	"""इस वर्ष धान की फसल का आनुमानिक उत्पादन सौ क्विंटल मान रहे हैं ।"""
145	anumeya_1	अनुमेय_1	inferable_1	वह जिसका अनुमान किया जाय	"""हमारा लक्ष्य सही नहीं निकला । / हमारा अनुमेय ग़लत था ।"""
146	anumeya_1	अनुमेय_1	inferable_1	अनुमान के योग्य	"""आप कुछ अनुमेय पदार्थों की सूचि तैयार कीजिए ।"""
147	anuraNana_1	अनुरणन_1	echoism_1	किसी के बोलने या बजने की क्रिया	"""कांस्य पात्र के अनुरणन से बच्चा चौक पड़ा ।"""
148	anuraNana_2	अनुरणन_2	tinnitus_1	किसी के बोलने या बजने की क्रिया	"""कांस्य पात्र के अनुरणन से बच्चा चौक पड़ा ।"""
149	anuraNana_3	अनुरणन_3	reverberation_1	किसी के बोलने या बजने की क्रिया	"""कांस्य पात्र के अनुरणन से बच्चा चौक पड़ा ।"""
150	anurvara_1	अनुर्वर_1	infertile_1	जो उर्वर न हो या जिसमें उर्वरा शक्ति न हो (जमीन)	"""राम के कठिन परिश्रम से आज अनउपजाऊ रेतीली ज़मीन में फसल लहरा रही है ।"""
151	anurvara_2	अनुर्वर_2	sterile_1	जो उर्वर न हो या जिसमें उर्वरा शक्ति न हो (जमीन)	"""राम के कठिन परिश्रम से आज अनउपजाऊ रेतीली ज़मीन में फसल लहरा रही है ।"""
