	eng_word
264	adjust
265	adjustable
266	admier
267	administered
268	administratively
269	admirable
270	admiralty
271	admiration
272	admire
273	admitted
274	admittedly
275	admonition
276	adorable
277	adore
278	adorer
279	adoring
280	adorning
281	adrift
282	adroit
283	adroitness
284	adulation
285	adulator
286	adulatoring
287	adulterant
288	adulterated
289	adulteration
290	adumbration
291	advanced
292	advantage
293	advent
294	adventure
295	adventurer
296	adverse
297	advertise
298	advertiser
299	advisable
300	advisory
301	aegis
302	aenolithic
303	aerated
304	aerobatic
305	aerobatics
306	aerobic
307	aerodrome
308	aerofoil
309	aerological
310	aerologist
311	aerometer
312	aeronaut
313	aeronautical
314	aeronautics
315	aerospace
316	afar
317	affairs
318	affiliate
319	affinity
320	affirmance
321	affirmant
322	affirmed
323	affixed
324	affliction
325	affricate
326	afloat
327	aforementioned
328	aforesaid
329	afraid
330	afterworld
331	agallochum
332	agamy
333	aggrandizement
334	aggravate
335	aggressively
336	aggrieved
337	aghast
338	agitating
339	agnomination
340	agonise
341	agonising
342	agony
343	agrarian
344	agree
345	agreeability
346	agreeable
347	agreeableness
348	agreeably
349	agreeing
350	agricultural
351	agriculture
352	aground
353	aha
354	aigrette
355	ailment
356	air-breather
357	air-hostess
358	air-pressure
359	air-proof
360	air-route
361	air-service
362	airconditioned
363	aircraft-carrier
364	airless
365	airliner
366	airlock
367	airmail
368	airman
369	airport
370	airways
371	akrasia
372	alarum
373	albino
374	alcoholomania
375	alderman
376	alehouse
377	alembic
378	alerted
379	alertness
380	algebraical
381	alienability
382	alienate
383	alienist
384	align
385	alike
386	alive
387	all-sided
388	allaying
389	allege
390	alleged
391	allegedly
392	allegorical
393	allegorist
394	allegory
395	allergy
396	alliterative
397	allocated
398	alloeroticism
399	allograph
400	allomorph
401	allonym
402	allotted
403	allure
404	allured
405	allurement
406	alluring
407	allusion
408	alluvium
409	allways
410	ally
411	almanac
412	almirah
413	almond-coloured
414	alms
415	alms-house
416	alongside
417	aloof
418	aloud
419	alpine
420	altar
421	alterable
422	alternate
423	alternation
424	alternator
425	altmanac
426	altruistic
427	amalgamate
428	amalgamation
429	amateurish
430	amatorial
431	amazing
432	amazingly
433	ambient
434	ambiguity
435	ambiguous
436	ambivalence
437	ambivalent
438	ambivert
439	amended
440	ameteur
441	amethyst
442	amid
443	amiss
444	amity
445	amnesty
446	amok
447	amoral
448	amorist
449	amorousness
450	amour-propre
451	amphibological
452	amphibology
453	amplification
454	amplifier
455	amplify
456	amplitude
457	amply
458	amputated
459	amuck
460	an
461	anachronism
462	anaconda
463	anaesthetic
464	anaesthetist
465	anagnorisis
466	analogous
467	analogy
468	analysable
469	analysed
470	analysis
471	analytic
472	analytical
473	anarchism
474	anastrophe
475	anatomy
476	ancestors
477	ancestry
478	anchorite
479	ancillary
480	and
481	anecdotage
482	anecdote
483	anecdotist
484	angling
485	angrily
486	anhydrous
487	animated
488	animatedness
489	animating
490	animism
491	animist
492	animosity
493	animus
494	anna
495	annal
496	annals
497	annex
498	annexation
499	annexe
500	annexed
501	annihilated
502	annihilating
503	annihilation
504	annihilator
505	annoint
506	annotate
507	annuity
508	annul
509	annulled
510	annulment
511	anoint
512	anointed
513	anointing
514	anomalous
515	anomaly
516	anonymous
517	anorexia
518	another
519	answerable
520	antagonism
521	antagonize
522	antecedents
523	antemeridian
524	anteposition
525	antescript
526	anthology
527	anti-aircraft
528	anti-graphing
529	anti-intellectual
530	anti-intellectualist
531	anti-public
532	anti-tank
533	antibilious
534	antibiotics
535	anticipated/anticipatory
536	anticipation
537	anticpative
538	antidote
539	antiquarianism
540	antiquated
541	antiquitist
542	antler
543	anxiously
544	any
545	anybody
546	apartheid
547	aperiodic
548	aperture
549	aphonia
550	aplasia
551	apnoea
552	apocope
553	apology
554	apophysis
555	apostasy
556	apostle
557	apostrophe
558	apparatus
559	apparently
560	appearing
561	append
562	appendage
563	appended
564	appetite
565	appetizer
566	applaud
567	applause
568	appliance
569	applicability
570	applied
571	applique
572	appointed
573	apportion
574	appraisal
575	appreciate
576	appreciation
577	apprecitative
578	apprehended
579	apprehensions
580	apprentice
581	apprise
582	approachable
583	approbated
584	approbation
585	appropriateness
586	appropriation
587	approve
588	approver
589	apron
590	apse
591	aqua
592	aquila
593	aquous
594	arbiter/arbitrator
595	arbitrariness
596	arbitration
597	arboriculture
598	arcade
599	archaelogist
600	archaism
601	archaist
602	archangel
603	archbishop
604	archetype
605	architecturally
606	archives/epigraph
607	archivist
608	archness
609	archway
610	ardent
611	ardour
612	areawise
613	argot
614	arguing
615	aridity
616	arm-embrace
617	arm-girdle
618	armada
619	armadillo
620	armament
621	armature
622	army-commander
623	arousing
624	arranged
625	arrangements
626	arrears
627	arrested
628	arrests
629	arrivals
630	arrive
631	arrogantly
632	arrow-root
633	artful
634	articles
635	articulate
636	articulator
637	artifice
638	artificiality
639	artisanship
640	artiste
641	asAXAraNa
642	asbestos
643	ascendance
644	ascendancy
645	ascended
646	ascending
647	ascertain
648	ascertainment
649	ascites
650	ascribe
651	asexual
652	ash-tray
653	ashamed
654	ashes
655	asked
656	aslant
657	asleep
658	aspersing
659	aspirant
660	aspirate
661	assailance
662	assassin
663	assassinate
664	assay
665	assent
666	assertive
667	assessing
668	assessment
669	asset
670	assets
671	assiduity
672	assiduous
673	assign
674	assimilate
675	assimilated
676	assimilation
677	associates
678	assorted
679	assumed
680	assuming
681	assumption
682	asthenopia
683	astray
684	astringency
685	astute
686	asymmetrical
687	ataxia
688	atom-bomb
689	atomism
690	atomist
691	atomistic
692	atomistics
693	atorso
694	atrociousness
695	atrocity
696	atrophy
697	attaboy
698	attacking
699	attained
700	attaining
701	attemptive
702	attendance
703	attended
704	attention
705	attentive
706	attenuated
707	attenuation
708	attest
709	attestation
710	attire
711	attracted
712	attributive
713	attrition
714	attuned
715	attunement
716	auctioned
717	audacious
718	auditory
719	augmentation
720	augmentor
721	augur
722	augury
723	aunt
724	auntie
725	auspices
726	auspiciousness
727	authenticated
728	authorize
729	autocrat
730	autoeroticism
731	autograph
732	automatic
733	autoscope
734	autumnal
735	auxiliary
736	avarice
737	avariciousness
738	avenue
739	averment
740	averse
741	avert
742	aves
743	aviary
744	aviator
745	avoidable
746	awakened
747	awaking
748	awe
749	awe-inspiring
750	awesome
751	awkward
752	awl
753	ayah
754	b
755	babble
756	babbler
757	babbling
758	bachelorhood
759	back-bite
760	back-biter
761	back-biting
762	back-bone
763	backbiting
764	backer
765	backwardness
766	bacon
767	badness
768	baffle
769	bagful
770	bagginess
771	bailable
772	bailor
773	bake
774	baldheaded
775	bale
776	baleful
777	ball-bell
778	ballad
779	ballast
780	ballistic
781	ballot-box
782	ballyhoo
783	baloon
784	balustrade
785	bandit
786	bandsman
787	banish
788	banished
789	banishment
790	banter
791	barbarian
792	barbarism
793	barbarous
794	barbarousness
795	barbecue
796	bard
797	baron
798	barrage
799	barrister-at-law
800	barrow
801	baryl
802	baseness
803	bashfulness
804	basking
805	bastardy
806	bathos
807	baton
808	battalion
809	batten
810	battery
811	battle-array
812	battle-field
813	bawling
814	beanch
815	bearded
816	beastliness
817	beaten
818	beater
819	beatitude
820	beautified
821	beautiful
822	beckon
823	bed-chamber
824	bed-sheet
825	bed-stead
826	bedding
827	bedlam
828	bedlamite
829	bedsheet
830	bedstead
831	bee
832	bee-hive
833	beep
834	befit
835	befitting
836	befittingness
837	beforehand
838	beget
839	begotten
840	begrudge
841	beguilement
842	beheading
843	behold
844	beholded
845	beholden
846	beholding
847	belabour
848	belabouring
849	belie
850	believable
851	believing
852	belle
853	belligerant
854	belligerence
855	bellowing
856	belong
857	belonging
858	belovedness
859	benedictory
860	benefactor
861	beneficence
862	beneficent
863	beneficial
864	benign
865	bequeathing
866	bereaved
867	bereavement
868	bereft
869	beseeching
870	beseem
871	beseeming
872	besiege
873	beslaver
874	besmear
875	besmeared
876	besom
877	bespattering
878	bestirring
879	bestow
880	bestowed
881	bestowing
882	betel-enclosure
883	betel-garden
884	betel-leaf
885	betel-nut
886	betel-seller
887	betel-vendor
888	betelnut
889	beting
890	betray
891	bewailing
892	beware
893	bewilder
894	bewildered
895	bewilderment
896	bewitched
897	bezoar
898	bi-weekly
899	biassed
900	biblical
901	bibliographer
902	bibliography
903	bicyclist
904	bidder
905	bidi
906	bifooted
907	bifurcate
908	bigger
909	biggest
910	bigha
911	bigot
912	bilge
913	bilinguist
914	billow
915	bimetallic
916	bio-data
917	biochemistry
918	biographer
919	biologism
920	bionomics
921	bionomy
922	biophysics
923	bioscope
924	bipodal
925	birth-place
926	birth-rate
927	biscope
928	bisexual
929	biting
930	bitterly
931	black-bee
932	black-board
933	black-faced
934	black-market
935	black-marketeer
936	black-marketing
937	blackhole
938	blacky
939	blamed
940	blamer
941	blandishment
942	blasphemy
943	bleed
944	blemish
945	blemishless
946	blended
947	blessed
948	blessings
949	blindly
950	blinkers
951	blocked
952	blockhead
953	blockheaded
954	blood-stained
955	blood-sucker
956	blood-sucking
957	blood-thirst
958	blood-thirsty
959	bloody
960	blooming
961	blot
962	blotch
963	blow-pipe
964	blower
965	bludgeon
966	bluff
967	bluffer
968	bluffing
969	blur
970	blurb
971	boarding
972	boaster
973	boastfulness
974	boatswain
975	bobby
976	bodilessness
977	bog
978	bogginess
979	bogie
980	bogus
981	boiling
982	bold
983	boldly
984	boldness
985	bole
986	boling
987	bomb-explosion
988	bombard
989	bombshell
990	bonafide
991	bonnet
992	booby
993	book-binder
994	book-binding
995	booking
996	books
997	boorish
998	boorishness
999	boosing
1000	boottomless
1001	booty
1002	boozy
1003	border-line
1004	borne
1005	borrower
1006	borrowing
1007	bossing
1008	both
1009	bothered
1010	bough
1011	bought
1012	bounding
1013	bounteousness
1014	bountiful/bounteous
1015	bowels
1016	bowmanship
1017	boycot
1018	boyhood
1019	boyhood/girlhood
1020	boyishness
1021	boyscout
1022	brackish
1023	braggadocio
1024	braggart
1025	brahmanhood
1026	brain-taxing
1027	brainless
1028	brakishness
1029	brambles
1030	branded
1031	brassieres
1032	brat
1033	brattishness
1034	breach
1035	bread-seller
1036	breakdown
1037	breaker
1038	breakfast-cereal
1039	breathing
1040	breech
1041	breezing
1042	brekfast
1043	bretheren
1044	brethern
1045	brevity
1046	brew
1047	brewery
1048	brewing
1049	bribee
1050	brickdust
1051	bridle
1052	brief
1053	briefing
1054	brigade
1055	brigand
1056	brigandage
1057	brightly
1058	brilliantly
1059	brine
1060	bristle
1061	british
1062	brittleness
1063	brjbee
1064	broadcasting
1065	broaden
1066	broadly
1067	broil
1068	bronchitis
1069	brotnel
1070	browbeaten
1071	browbeating
1072	brown
1073	brownish
1074	brutal
1075	brutally
1076	buckram
1077	bufalo
1078	buffer
1079	buffet
1080	buffoonery
1081	bugger
1082	built
1083	bulky
1084	bulletin
1085	bullock-cart
1086	bun
1087	bund
1088	bung
1089	bungler
1090	bunting
1091	buoyant
1092	burglar
1093	burglary
1094	burner
1095	burser
1096	bursting
1097	bus-stand
1098	bus-stop
1099	but
1100	butter-fly
1101	butter-milk
1102	buttocks
1103	buttress
1104	buyer
1105	buying
1106	buzzer
1107	buzzing
1108	by
1109	bygone
1110	bylane
1111	cabin
1112	cabman
1113	cactus
1114	cadence
1115	cadre
1116	caesura
1117	cafeteria
1118	cajolery
1119	calamitous
1120	calculating
1121	calculi
1122	calix
1123	calligraphist
1124	calling
1125	callipers
1126	callosity
1127	callous
1128	callously
1129	calmness
1130	calorific
1131	calumniator
1132	calx
1133	campaigner
1134	cancellation
1135	cancelled
1136	candidature
1137	candle-stick
1138	cane
1139	canister
1140	canned
1141	canning
1142	canoiest
1143	canon
1144	canopied
1145	cant
1146	caper
1147	capillary
1148	capitalisation
1149	capitalists
1150	capitalize
1151	caprice
1152	capsize
1153	captainey
1154	captivity
1155	captured
1156	carbuncle
1157	carcass
1158	carcassing
1159	card-sharpening
1160	card-sharpner
1161	carder
1162	carding
1163	care-free
1164	career
1165	carefreeness
1166	caress
1167	carnality
1168	carol
1169	carp
1170	carried
1171	carrying
1172	cartage
1173	cartoonist
1174	cash-book
1175	cashewnut
1176	cashier
1177	cashing
1178	cask
1179	caste-characteristic
1180	casteism
1181	castelessness
1182	caster
1183	castor
1184	casual/temporary
1185	casually
1186	casualties
1187	catalogue
1188	catalyser
1189	catamite
1190	catarrh
1191	catastrophism
1192	catastrophist
1193	catchpit
1194	catechism
1195	categorical
1196	categorized
1197	catharsis
1198	cathedral
1199	cattle-breeder
1200	cattle-breeding
1201	caus
1202	causal
1203	causality
1204	causation
1205	causelessly
1206	caustic-tongued
1207	cautious
1208	cautiousness
1209	cavalier
1210	cave-dwelling
1211	cavern
1212	cavitation
1213	caw-caw
1214	cedar
1215	censorship
1216	censure
1217	censured
1218	censurer
1219	centenary
1220	centigrade
1221	centipede
1222	centralisation
1223	centrifugal
1224	centring
1225	centripetal
1226	centroid
1227	cereals
1228	cerebral
1229	cerebralisation
1230	cerebrotonic
1231	cerebrum
1232	certain
1233	certificated
1234	certified
1235	certifier
1236	certify
1237	cess
1238	cession
1239	chaffering
1240	chait
1241	challan
1242	championing
1243	chandal
1244	changes
1245	changing
1246	chaos
1247	chappal
1248	char
1249	characterised
1250	characterless
1251	charge-sheet
1252	charging
1253	chariot-maker
1254	charlatan
1255	charming-eyed
1256	charring
1257	chart
1258	chasm
1259	chaste
1260	chastisement
1261	chastity
1262	chastity-monger
1263	chatterer
1264	chattering
1265	chatting
1266	chauffeur
1267	chaupal
1268	chauvinism
1269	chauvinist
1270	chauvinistic
1271	cheaply
1272	cheated
1273	cheating
1274	checkmate
1275	cheekiness
1276	cheeks
1277	cheektooth
1278	cheeky
1279	cheese-paring
1280	cherish
1281	cherished
1282	cheroot
1283	chest
1284	chiefly
1285	childbirth
1286	childly
1287	children
1288	chillies
1289	chilliness
1290	chime
1291	chinse
1292	chintz
1293	chipping
1294	chippings
1295	chirata
1296	chiromancy
1297	chirping
1298	chirred
1299	chit
1300	chit-chat
1301	chivalrous
1302	chlorosis
1303	choicest
1304	choir
1305	chopping
1306	choral
1307	chord
1308	chorus
1309	chosen
1310	christen
1311	christening
1312	chromosphere
1313	chronological
1314	chronology
1315	chuckle
1316	chumrey
1317	chunk
1318	churn-staff
1319	churned
1320	churner
1321	cider
1322	cikanI-cupadZI
1323	cilia
1324	cinders
1325	cinematograph
1326	cinematographic
1327	cinus
1328	circularly
1329	circulated
1330	circumambulation
1331	circumstance
1332	circumstanced
1333	circumstantial
1334	circumvented
1335	circumvention
1336	cirri
1337	cistern
1338	citadel
1339	cited
1340	city-state
1341	civility
1342	cladding
1343	clam
1344	clamber
1345	clamour
1346	clandestinely
1347	clapping
1348	clarified
1349	clarify
1350	clarionet
1351	clasped
1352	clasping
1353	class-fellow
1354	class-room
1355	classicism
1356	classicist
1357	classified
1358	classify
1359	classwise
1360	clatter
1361	clattering
1362	claustrophobia
1363	clayey
1364	cleaned
1365	cleanliness
1366	cleanse
1367	cleansed
1368	cleavage
1369	clemency
1370	clergy
1371	clergyman
1372	clerical
1373	cleverly
1374	cliche
1375	climatology
1376	climbing
1377	clinic
1378	clinical
1379	clinked
1380	clinker
1381	clinking
1382	clique
1383	cloak
1384	clod
1385	cloister
1386	closed
1387	closely
1388	closest
1389	cloth-mill
1390	clothe
1391	clothesline
1392	clothier
1393	clothing
1394	cloud-coloured
1395	cloudiness
1396	clove-creeper
1397	cloy
1398	clueless
1399	clumsiness
1400	clustered
1401	cluttering
1402	co-editor
1403	co-existence
1404	co-operating
1405	co-operation
1406	co-sharer
1407	co-wife
1408	coagulator
1409	coalescence
1410	coarseness
1411	coaster
1412	coastline
1413	coastwise
1414	coatee
1415	cobble
1416	cockade
1417	cockerel
1418	cockpit
1419	codifier
1420	coecus
1421	coefficient
1422	coercion
1423	coexist
1424	coexistence
1425	cog
1426	cognizant
1427	cohabitation
1428	cohesive
1429	coinage
1430	coins
1431	coition
1432	coitus
1433	colitis
1434	collaboration
1435	colleague
1436	collections
1437	collective
1438	collectiveness
1439	collide
1440	colloquial
1441	collyrium
1442	colocynth
1443	colonialism
1444	coloniser
1445	colossal
1446	colossus
1447	colourful
1448	colourfulness
1449	colourless
1450	colourlessness
1451	colours
1452	colt
1453	combatant
1454	combating
1455	combinded
1456	combustible
1457	comeliness
1458	comer
1459	comfortable
1460	comlex
1461	commanded
1462	commanding
1463	commemorate
1464	commemoration
1465	commend
1466	commerce
1467	commercial
1468	commingled
1469	commingling
1470	commodious
1471	commoditywise
1472	communalism
1473	communalist
1474	communalistic
1475	communality
1476	communicate
1477	communicative
1478	communion
1479	compared
1480	compassionate
1481	compatriot
1482	compel
1483	compelled
1484	compensasation
1485	compering
1486	competence
1487	competent
1488	competing
1489	competitive
1490	compilation
1491	compiled
1492	compiling
1493	complainant
1494	complexion
1495	complicity
1496	comply
1497	component/constituent/ingredient
1498	composed
1499	composer
1500	composition
1501	composure
1502	compounder
1503	comprehended
1504	comprehensible
1505	comprehension
1506	comprehensive
1507	compress
1508	compressed
1509	compression
1510	compressor
1511	compulsion
1512	compunctious
1513	computer-course
1514	computing
1515	concentrates
1516	concentrative
1517	concentric
1518	concept
1519	conception
1520	conceptual
1521	conceptualism
1522	concerned
1523	concerning
1524	concert
1525	concessional
1526	conciliation
1527	concinnity
1528	concise
1529	concluding
1530	conclusive
1531	conclusiveness
1532	concomitance
1533	concord
1534	concordant
1535	concordat
1536	concreteness
1537	concubine
1538	concurred
1539	concurrent
1540	condemn
1541	condemnable
1542	condense
1543	condensed
1544	condiments
1545	conditional
1546	conditioning
1547	conditions
1548	condolence
1549	condonation
1550	conducted
1551	conducting
1552	conduction
1553	conduit
1554	confectioner
1555	confectionery
1556	confederate
1557	confer
1558	confess
1559	confessed
1560	confession
1561	confidBaveence
1562	confidant
1563	confide
1564	confidential
1565	confidently
1566	confined
1567	confinement
1568	confirm
1569	confirmative
1570	confirmatory
1571	confirmed
1572	conflagration
1573	conflicting
1574	conflictional
1575	conformable
1576	conformity
1577	confoundedness
1578	confrontation
1579	confronting
1580	confusion/perplexity
1581	congeal
1582	congenital
1583	congested
1584	coniferous
1585	conj
1586	conjectural
1587	conjugal
1588	conjuring
1589	connections
1590	connote
1591	conquered
1592	conqueror
1593	conscience-seller
1594	consensus
1595	consent
1596	consenting
1597	conservancy
1598	conservatism
1599	conservator
1600	considerateness
1601	considering
1602	consign
1603	consigned
1604	consigner
1605	consistence
1606	consolidate
1607	consonance
1608	consort
1609	conspicuous
1610	conspire
1611	conspirer
1612	constancy
1613	constantly
1614	constipative
1615	constituent
1616	constrain
1617	constraint
1618	constructed
1619	constructive
1620	consumables
1621	consumed
1622	consuming
1623	consummate
1624	consummation
1625	contacts
1626	containing
1627	contemplatable
1628	contemplating
1629	contemplator
1630	contemporaniety
1631	contemptibility
1632	contemptible
1633	contemptuous
1634	contending
1635	contextual
1636	contiguous
1637	contingency
1638	contingent
1639	continued
1640	continuity
1641	continuously
1642	continuum
1643	contort
1644	contracting
1645	contraction
1646	contradict
1647	contradicted
1648	contralateral
1649	contrariety
1650	contrast
1651	contravention
1652	contribute
1653	contributor
1654	contrition
1655	contrivance
1656	contrived
1657	controversy
1658	contumacious
1659	contumacy
1660	contumelious
1661	contumeliousness
1662	convalescence
1663	convene
1664	convened
1665	convening
1666	convenor
1667	convent
1668	convention-bound
1669	conventional
1670	conventionalised
1671	conventionalism
1672	conventionalist
1673	conventionalistic
1674	conventionality
1675	convergent
1676	conversance
1677	conversant
1678	converse
1679	conversely
1680	conversion
1681	convertible
1682	conveying
1683	convincing
1684	convivial
1685	convocation
1686	convolution
1687	coo
1688	cooing
1689	cookie
1690	coolant
1691	cooler
1692	coolness
1693	cooper
1694	copiousness
1695	coppersmith
1696	copra
1697	copulation
1698	copyright
1699	coquetish
1700	coquettish
1701	coquettishness
1702	corbel
1703	cordiality
1704	cordon
1705	cork
1706	cork-screw
1707	corollary
1708	corona
1709	coronated
1710	coroner
1711	coronet
1712	corporation
1713	corporeal
1714	corpse
1715	corpse-eater
1716	corpulence
1717	corpus
1718	corrective
1719	correctness
1720	correlate
1721	correspondent
1722	corresponding
1723	corridor
1724	corrigendum
1725	corroborate
1726	corroboration
1727	corroborative
1728	corrosion
1729	corrosive
1730	corset
1731	cosmology
1732	cosseting
1733	costliness
1734	cot
1735	coterie
1736	cotton-stuffed
1737	councillor
1738	counsellor
1739	countdown
1740	countenance
1741	counter-clockwise
1742	counter-propaganda
1743	counterable
1744	counteract
1745	counterbalance
1746	counterbalancing
1747	countering
1748	counterpart
1749	counterpoint
1750	countersink
1751	countryside
1752	coup
1753	coupling
1754	courteousness
1755	courtesy
1756	courtiership
1757	courtyard
1758	cousin
1759	covenant
1760	cover-design
1761	coverlet
1762	covert
1763	coverture
1764	covet
1765	covetable
1766	covetousness
1767	cow-breeding
1768	cow-milk
1769	cow-pan
1770	cow-protection
1771	cow-slaughter
1772	cowdung-cake
1773	cower
1774	cowherd
1775	cowl
1776	cowled
1777	cox-comb
1778	coyote
1779	crack+sound
1780	crack/creak/crackle
1781	cracked
1782	craftiness
1783	craftsmanship
1784	crafty
1785	crammer
1786	cramming
1787	cranberry
1788	cranium
1789	crank
1790	crankiness
1791	crave
1792	craving
1793	crayfish
1794	crayon
1795	craziness
1796	creamy
1797	created
1798	creatures
1799	credibility
1800	credible
1801	creditor
1802	creditworthy
1803	credulity
1804	creed
1805	creek
1806	creeper
1807	creepy
1808	cremating
1809	crescent
1810	crescent-shaped
1811	creviced
1812	crib
1813	crimination
1814	cringe
1815	crispbread
1816	critical
1817	criticised
1818	cropper
1819	crops
1820	cross-bred
1821	cross-breed
1822	cross-questioning
1823	crossbar
1824	crossover
1825	crosswise
1826	crouch
1827	crouched
1828	crowbar
1829	crowded
1830	crowdedness
1831	crowding
1832	crtic
1833	crucible
1834	cruciform
1835	crucify
1836	crudely
1837	crudity
1838	cruel
1839	crushed
1840	crusher
1841	crustacean
1842	cryptogram
1843	crystallise
1844	crystallised
1845	cube-root
1846	cud
1847	cudgel-wielder
1848	culinary
1849	cull
1850	culprit
1851	cultivator
1852	culturist
1853	culvert
1854	cumber
1855	cuneus
1856	cunning
1857	cunningness
1858	curate
1859	curcuma
1860	cure
1861	cured
1862	curing
1863	curio
1864	curiosities
1865	curled
1866	currycomb
1867	cursable
1868	cursed
1869	cursory
1870	curtail
1871	curtailment
1872	curtness
1873	curvedness
1874	custodian
1875	customary
1876	cutch
1877	cute
1878	cutlass
1879	cutlet
1880	cuttings
1881	cuttlefish
1882	cycling
1883	cylinder
1884	cynicism
1885	cynicist
1886	dacoit
1887	dacoity
1888	daffodil
1889	daftary
1890	dainties
1891	dais
1892	damages
1893	damnation
1894	damned
1895	dampen
1896	damsel
1897	dance-teacher
1898	dandyism
1899	dandyman
1900	dangerous
1901	dank
1902	darkishness
1903	darling
1904	dartboard
1905	dashdown
1906	database
1907	datacentre
1908	dataflow
1909	datagram
1910	dauntless
1911	dauntlessness
1912	day-blind
1913	day-break
1914	day-dream
1915	day-dreaming
1916	dazzlement
1917	dead-drunk
1918	deaden
1919	deambulation
1920	dearer
1921	dearness
1922	dearth
1923	death-bed
1924	death-duty
1925	death-rate
1926	death-scare
1927	deathless
1928	debasement
1929	debatable
1930	debauch
1931	debauchery
1932	debt-free
1933	decadent
1934	decantation
1935	decaying
1936	deceipt
1937	deceitfulness
1938	deceived
1939	decency
1940	decentralised
1941	deceptive
1942	decibel
1943	decided
1944	decidedly
1945	decimal
1946	decimetre
1947	decisively
1948	declining
1949	declivious
1950	decompose
1951	decomposed
1952	decontrol
1953	decorticate
1954	decree-holder
1955	decrepitate
1956	decrepitation
1957	decrepitude
1958	deduce
1959	deducted
1960	deductible
1961	deductive
1962	deer-eyed
1963	deer-skin
1964	defaced
1965	default
1966	defaulter
1967	defeatism
1968	defectionist
1969	defence-post
1970	defenceless
1971	defendable
1972	defended
1973	deference
1974	deferment
1975	deferred
1976	defiance
1977	defiant
1978	deficit
1979	defile
1980	defiled
1981	defilement
1982	define
1983	definitely
1984	definiteness
1985	definitional
1986	deflate
1987	deflation
1988	deflector
1989	defoliation
1990	deformable
1991	deformation
